row,time,.prec.sim.prec
242,2018-08-31T23:00:00,0.38
243,2018-09-01T23:00:00,0.42
244,2018-09-02T23:00:00,0.34
245,2018-09-03T23:00:00,0.4
246,2018-09-04T23:00:00,1.35
247,2018-09-05T23:00:00,0.68
248,2018-09-06T23:00:00,0.54
249,2018-09-07T23:00:00,0.09
250,2018-09-08T23:00:00,0.25
251,2018-09-09T23:00:00,0.13
252,2018-09-10T23:00:00,0.33
253,2018-09-11T23:00:00,0.2
254,2018-09-12T23:00:00,0.1
255,2018-09-13T23:00:00,0.87
256,2018-09-14T23:00:00,0.04
257,2018-09-15T23:00:00,0.06
258,2018-09-16T23:00:00,0.07
259,2018-09-17T23:00:00,0.02
260,2018-09-18T23:00:00,0.07
261,2018-09-19T23:00:00,0.15
262,2018-09-20T23:00:00,0.1
263,2018-09-21T23:00:00,0.75
264,2018-09-22T23:00:00,0.39
265,2018-09-23T23:00:00,0.19
266,2018-09-24T23:00:00,0.37
267,2018-09-25T23:00:00,1.04
268,2018-09-26T23:00:00,0.81
269,2018-09-27T23:00:00,1.31
270,2018-09-28T23:00:00,0.44
271,2018-09-29T23:00:00,0.21
272,2018-09-30T23:00:00,0.01
273,2018-10-01T23:00:00,0.01
274,2018-10-02T23:00:00,0.07
275,2018-10-03T23:00:00,0.62
276,2018-10-04T23:00:00,0.84
277,2018-10-05T23:00:00,0.69
278,2018-10-06T23:00:00,0.91
279,2018-10-07T23:00:00,0.76
280,2018-10-08T23:00:00,1.96
281,2018-10-09T23:00:00,0.62
282,2018-10-10T23:00:00,0.24
283,2018-10-11T23:00:00,0.25
284,2018-10-12T23:00:00,0.08
285,2018-10-13T23:00:00,0.16
286,2018-10-14T23:00:00,0.07
287,2018-10-15T23:00:00,0.43
288,2018-10-16T23:00:00,0.29
289,2018-10-17T23:00:00,0.49
290,2018-10-18T23:00:00,3.29
291,2018-10-19T23:00:00,2.3
292,2018-10-20T23:00:00,3.59
293,2018-10-21T23:00:00,0.12
294,2018-10-22T23:00:00,0.53
295,2018-10-23T23:00:00,2.21
