source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2015-12-31 23:00:00	ACTO	1	0.26682	48.9115	59.7699	20	15.5854	0.810843	0.414222	1.50323	0.568401	20.1199	133.942	0.200025	4.14204	1.03568	8.44786
setup	0	2015-12-31 23:00:00	:ALL:	1	1.10682	48.9115	59.7699	20	15.5854	0.810843	0.414222	1.50323	0.57463	20.1199	133.942	0.200025	4.14204	1.03568	8.44786
setup	0	2016-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.594552	1	0	0	0	0	0
setup	0	2016-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2016-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2016-12-31 23:00:00	ACTO	1	0.269989	48.8135	60.2827	20	15.5854	0.811946	0.417093	1.50323	0.506007	20.1199	119.916	0.200024	4.16822	1.04221	8.50123
setup	0	2016-12-31 23:00:00	:ALL:	1	1.10999	48.8135	60.2827	20	15.5854	0.811946	0.417093	1.50323	0.551589	20.1199	119.916	0.200024	4.16822	1.04221	8.50123
setup	0	2017-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.598607	1	0	0	0	0	0
setup	0	2017-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2017-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2017-12-31 23:00:00	ACTO	1	0.26945	48.716	60.04	20	15.5854	0.811946	0.417093	1.50323	0.518578	20.1199	149.484	0.200024	4.14885	1.03737	8.46171
setup	0	2017-12-31 23:00:00	:ALL:	1	1.10945	48.716	60.04	20	15.5854	0.811946	0.417093	1.50323	0.557588	20.1199	149.484	0.200024	4.14885	1.03737	8.46171
setup	0	2018-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.614612	1	0	0	0	0	0
setup	0	2018-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2018-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2018-12-31 23:00:00	ACTO	1	0.268911	48.6186	60.0789	20	15.5854	0.811946	0.417093	1.50323	0.423485	20.1199	149.484	0.200024	4.16291	1.04088	8.49039
setup	0	2018-12-31 23:00:00	:ALL:	1	1.10891	48.6186	60.0789	20	15.5854	0.811946	0.417093	1.50323	0.546094	20.1199	149.484	0.200024	4.16291	1.04088	8.49039
setup	0	2019-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.613705	1	0	0	0	0	0
setup	0	2019-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2019-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2019-12-31 23:00:00	ACTO	1	0.269991	48.5215	60.3469	20	15.5854	0.812414	0.418348	1.50323	0.448216	20.1199	139.209	0.200023	4.17922	1.04495	8.52365
setup	0	2019-12-31 23:00:00	:ALL:	1	1.10999	48.5215	60.3469	20	15.5854	0.812414	0.418348	1.50323	0.551337	20.1199	139.209	0.200023	4.17922	1.04495	8.52365
setup	0	2020-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.599515	1	0	0	0	0	0
setup	0	2020-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2020-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2020-12-31 23:00:00	ACTO	1	0.274133	48.4243	61.1782	20	15.5854	0.813745	0.421968	1.50323	0.440968	20.1199	144.977	0.200021	4.23096	1.05788	8.62916
setup	0	2020-12-31 23:00:00	:ALL:	1	1.11413	48.4243	61.1782	20	15.5854	0.813745	0.421968	1.50323	0.53898	20.1199	144.977	0.200021	4.23096	1.05788	8.62916
setup	0	2021-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.614398	1	0	0	0	0	0
setup	0	2021-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2021-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
