year,date,lai
2020,7/19/2020,0.619900313
2020,7/27/2020,0.5
2020,8/4/2020,0.577786889
2020,8/12/2020,0.576009154
2020,8/20/2020,0.427734653
2020,8/28/2020,0.590661629
2020,9/5/2020,0.590661629
2020,9/13/2020,0.435380658
2020,9/21/2020,0.441518756
2020,9/29/2020,0.420170141
2020,10/7/2020,0.495909466
2020,10/15/2020,0.371300973
2020,10/23/2020,0.284249826
2020,10/31/2020,0.458481244
2020,11/8/2020,0.46488917
2020,11/16/2020,0.645344055
2020,11/24/2020,0.618932062
2020,12/2/2020,1.06338514
2020,12/10/2020,0.789153722
2020,12/18/2020,0.700269828
2020,12/26/2020,0.602047564
2021,1/1/2021,0.541518756
2021,1/9/2021,0.641518756
2021,1/17/2021,0.741518756
2021,1/25/2021,0.693861903
2021,2/2/2021,0.575181283
2021,2/10/2021,0.433872751
2021,2/18/2021,0.541518756
2021,2/26/2021,0.868983581
2021,3/6/2021,0.871300973
2021,3/14/2021,0.571300973
2021,3/22/2021,0.601777736
2021,3/30/2021,0.201079313
2021,4/7/2021,0.528448302
2021,4/15/2021,0.628333915
2021,4/23/2021,0.988704332
2021,5/1/2021,0.474796839
2021,5/9/2021,0.243333116
2021,5/17/2021,1.1
2021,5/25/2021,1.227576569
2021,6/2/2021,1.036966036
2021,6/10/2021,1.052589995
2021,6/18/2021,0.528699027
2021,6/26/2021,0.901777736
2021,7/4/2021,0.258946787
2021,7/12/2021,0.5
2021,7/20/2021,0.653503235
2021,7/28/2021,0.453503235
2021,8/5/2021,0.106138097
2021,8/13/2021,0.395639638
2021,8/21/2021,0.435380658
2021,8/29/2021,0.465509602
2021,9/6/2021,0.349486815
2021,9/14/2021,0.451725499
2021,9/22/2021,0.395291819
2021,9/30/2021,0.341518756
2021,10/8/2021,0.376009154
2021,10/16/2021,0.349434589
2021,10/24/2021,0.333872751
2021,11/1/2021,0.347117197
2021,11/9/2021,0.306138097
2021,11/17/2021,0.300539656
2021,11/25/2021,0.3
2021,12/3/2021,0.759453373
2021,12/11/2021,0.525609099
2021,12/19/2021,1.201926358
2021,12/27/2021,1.023104463
2022,1/1/2022,0.541518756
2022,1/9/2022,1.669582842
2022,1/17/2022,1.219900313
2022,1/25/2022,1.306138097
2022,2/2/2022,0.97892509
2022,2/10/2022,1.035650486
2022,2/18/2022,0.787723805
2022,2/26/2022,0.824260674
2022,3/6/2022,0.5
2022,3/14/2022,0.561419068
2022,3/22/2022,0.483655159
2022,3/30/2022,0.53769805
2022,4/7/2022,0.487993633
2022,4/15/2022,0.502317392
2022,4/23/2022,0.88209224
2022,5/1/2022,0.901777736
2022,5/9/2022,0.508166558
2022,5/17/2022,0.714201047
2022,5/25/2022,0.5
2022,6/2/2022,0.680099687
2022,6/10/2022,0.246496765
2022,6/18/2022,0.146208551
2022,6/26/2022,0.419840708
2022,7/4/2022,0.494131731
2022,7/12/2022,0.396444529
2022,7/20/2022,0.3
2022,7/28/2022,0.1
2022,8/5/2022,0.246226937
2022,8/13/2022,0.301777736
2022,8/21/2022,0.319900313
2022,8/29/2022,0.301777736
2022,9/6/2022,0.194131731
2022,9/14/2022,0.3
2022,9/22/2022,0.3
2022,9/30/2022,0.3
2022,10/8/2022,0.333602923
2022,10/16/2022,0.3
2022,10/24/2022,0.3
2022,11/1/2022,0.3
2022,11/9/2022,0.472106956
2022,11/17/2022,0.298222264
2022,11/25/2022,0.235650486
2022,12/3/2022,0.371300973
2022,12/11/2022,0.525609099
2022,12/19/2022,0.446710489
2022,12/27/2022,0.305333207
2023,1/1/2023,0.435650486
2023,1/9/2023,0.383655159
2023,1/17/2023,0.353773063
2023,1/25/2023,0.339471192
2023,2/2/2023,0.3
2023,2/10/2023,0.275121678
2023,2/18/2023,0.44792318
2023,2/26/2023,0.333872751
2023,3/6/2023,0.282147251
2023,3/14/2023,0.241518756
2023,3/22/2023,0.240088839
2023,3/30/2023,0.46373646
2023,4/7/2023,0.781877423
2023,4/15/2023,0.549005994
2023,4/23/2023,0.386622229
2023,5/1/2023,2.037276098
2023,5/9/2023,0.800035689
2023,5/17/2023,1.273573498
2023,5/25/2023,1.041496868
2023,6/2/2023,0.607276298
2023,6/10/2023,0.613762215
2023,6/18/2023,0.280099687
2023,6/26/2023,0.2
2023,7/4/2023,0.329859115
2023,7/12/2023,0.446496765
2023,7/20/2023,0.3
2023,7/28/2023,0.385868078
2023,8/5/2023,0.387645814
2023,8/13/2023,0.335380658
2023,8/21/2023,0.301777736
2023,8/29/2023,0.423042074
2023,9/6/2023,0.286027562
2023,9/14/2023,0.480099687
2023,9/22/2023,0.482147251
2023,9/30/2023,0.415750174
2023,10/8/2023,0.381877423
2023,10/16/2023,0.333602923
2023,10/24/2023,0.1
2023,11/1/2023,0.259641333
2023,11/9/2023,0.135380658
2023,11/17/2023,0.233949649
2023,11/25/2023,1.128358586
2023,12/3/2023,1.555550799
2023,12/11/2023,1.557345828
2023,12/19/2023,1.201926358
2023,12/27/2023,1.023104463
2024,1/1/2024,0.385364671
