source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2010-01-21 23:00:00	4.68496e-09	19.2095	11.2505	0.0133248	0	0.000432036	0	0.00312815	0.0278432	0.221708	5.43839e-08	0	0	0	0.240216	25.7736	0.00311237	0.281365	0.0136256	0.351093	1.14376	1.07519	0.321305	0.00286767	6291.79	244560	60296.1	79327.9	548.737	600.992	209.772	90.7903	13.649	476.516	117.921	136.902	35791.8	6755.18	8783.49	55.0177	6.89452	5.92784	8.18939	6.79892	4.64533	1.14361	0.519487
setup	0	2010-01-22 23:00:00	1.15253e-10	18.9328	11.5077	0.0188131	0	0.000682272	0	0.00314509	0.027572	0.21153	5.73315e-08	0	0	0	0.240167	25.453	0.00292109	0.28115	0.0136256	0.348488	1.14328	1.08035	0.317517	0.00277958	6255.1	244574	60314	79343.9	551.112	620.505	207.549	91.0123	13.7814	476.744	117.919	136.949	35791.5	6755.17	8783.25	55.1501	7.11041	5.79103	8.19005	6.77589	4.64813	1.1436	0.512488
setup	0	2010-01-23 23:00:00	3.65414e-09	18.4211	11.8153	0.0216569	0	0.000580444	0	0.00315636	0.0271438	0.203438	5.87155e-08	0	0	0	0.24014	25.1385	0.00213835	0.280568	0.0136256	0.33356	1.1508	1.09712	0.318021	0.00273258	6210.53	244587	60331.4	79359.5	553.429	639.503	205.547	91.1393	13.9092	476.971	117.917	136.992	35791.3	6755.16	8783.03	55.2964	7.32334	5.66024	8.18436	6.77577	4.65015	1.1436	0.504376
setup	0	2010-01-24 23:00:00	5.66674e-09	17.725	11.6787	0.0230138	0	0.000589951	0	0.00226982	0.0200935	0.20647	6.04683e-08	0	0	0	0.240015	24.8341	0.00407967	0.280927	0.0136819	0.328509	1.12852	1.05714	0.336511	0.00276704	6169.53	244601	60348.6	79375.1	555.999	658.034	204.149	90.528	13.7929	477.199	117.914	137.022	35791	6755.15	8782.82	55.4465	7.53472	5.54308	8.13049	6.75495	4.65411	1.14359	0.511708
setup	0	2010-01-25 23:00:00	3.63031e-09	15.9969	11.2018	0.0256746	0	0.00120749	0	0.00252558	0.0221692	0.207654	5.80022e-08	0	0	0	0.239929	24.5294	0.0033754	0.280091	0.0137168	0.314118	1.08287	1.04669	0.341768	0.00275134	6127.38	244614	60365.5	79391.7	558.281	676.568	202.816	89.7727	13.9982	477.428	117.913	137.044	35790.7	6755.1	8782.71	55.5912	7.74867	5.43297	8.05954	6.74775	4.65737	1.1436	0.508326
setup	0	2010-01-26 23:00:00	9.04224e-08	14.6374	16.2298	0.401142	0.0376328	0.00564504	0.0081202	0.00197387	0.00408192	0.202838	5.24621e-08	0	0	0	0.239807	24.2288	0.00407625	0.279541	0.0136993	-3.77052e-15	1.21639	1.36749	0.414106	0.00254246	6080.61	244623	60345.5	79404.9	560.153	695.046	201.739	86.7737	11.397	477.658	117.912	137.05	35790.8	6751.53	8782.22	55.4179	7.96452	5.33036	7.87835	7.43855	4.66135	1.1436	0.516777
setup	0	2010-01-27 23:00:00	4.06136e-08	11.5534	10.5032	0.408088	0.0381314	0.00596084	0.00474979	0.00206112	0.00763479	0.248076	4.65859e-08	0	0	0	0.239586	23.9194	0.00407392	0.611967	0.0136365	0.0123063	0.746545	0.807167	0.55398	0.00327729	6041.44	244636	60362.8	79420.8	560.909	714.211	200.397	85.0087	12.4232	477.89	117.912	136.412	35790.9	6752.09	8782.66	55.8842	8.52357	5.23519	7.75811	7.10601	4.66535	1.14362	0.503659
setup	0	2010-01-28 23:00:00	2.71229e-08	12.0013	10.4226	0.406399	0.0381547	0.00607427	0.00477909	0.00224734	0.0110075	0.278133	4.13297e-08	0	0	0	0.239461	23.666	0.00404492	0.604967	0.0136283	0.27466	0.931388	0.919583	0.491046	0.00382173	6018.25	244649	60379.4	79436	561.224	732.569	199.288	84.4323	13.3055	478.12	117.913	135.788	35790.8	6752.42	8782.8	55.9622	9.06677	5.14598	7.67842	6.95284	4.66931	1.14364	0.496436
setup	0	2010-01-29 23:00:00	1.93955e-08	13.3277	11.3145	0.414507	0.038681	0.00692136	0.00591208	0.00253881	0.0147152	0.291618	3.78278e-08	0	0	0	0.23947	23.4356	0.00212716	0.314721	0.0136256	0.252809	0.952739	1.00444	0.449697	0.00389293	5994.59	244661	60395	79450.1	561.486	749.665	198.52	84.6059	13.8787	478.349	117.913	135.645	35790.6	6752.53	8782.71	56.1288	9.30506	5.06182	7.64975	6.81929	4.67133	1.14366	0.490425
setup	0	2010-01-30 23:00:00	2.10382e-08	12.8725	11.3966	0.426491	0.0399756	0.00659565	0.00581656	0.00277455	0.0178509	0.294908	3.67414e-08	0	0	0	0.239487	23.2065	0.00212726	0.344932	0.0136256	0.248094	1.01499	1.01793	0.42852	0.00378333	5970.02	244672	60410.4	79463.8	561.72	766.403	197.839	84.9001	14.444	478.577	117.913	135.453	35790.3	6752.66	8782.65	56.1896	9.57186	4.98078	7.64349	6.79761	4.67335	1.14367	0.485456
