"date","nee.osv","h.osv","le.osv","temp.avg.osv","temp.min.osv","temp.max.osv","precip.osv","rg.osv","swc.1.osv","swc.2.osv","swc.3.osv","ts.1.osv","ts.2.osv","ts.3.osv"
2023-05-02,-2.25749868916667,24.0692503125,91.7207445,18.541,14.621,22.182,0.6,311.852147429218,NA,0.426417354166667,0.340815916666667,23.9,22.3206458333333,22.020375
2023-05-03,-2.20960547916667,23.2859329375,72.9344279166667,18.2651458333333,16.542,21.519,0.1,311.852147429218,NA,0.4153159375,0.326954833333333,23.9,22.4559583333333,22.0316875
2023-05-04,-3.11891936956522,28.4862268695652,90.8089077608696,18.6148723404255,15.124,23.358,0,311.852147429218,0.384822,0.408205255319149,0.313232404255319,23.899,22.6776170212766,22.7867659574468
2023-05-05,-1.7930344625,28.7637235,94.705635875,18.6689791666667,14.483,23.521,0,311.852147429218,0.384619814814815,0.40183125,0.2957403125,23.899,23.12575,23.2025416666667
2023-05-06,-1.46901583333333,29.1692059791667,87.5893789583333,18.8638541666667,15.231,23.423,0,311.852147429218,0.384813266666667,0.395255541666667,0.2773035,23.9,23.3847708333333,23.2686041666667
2023-05-07,-2.65352560416667,30.3816700916667,85.2033269583333,18.7885833333333,15.605,23.073,0,311.852147429218,0.38497915,0.388511125,0.262616041666667,24.0902083333333,23.6559583333333,23.959125
2023-05-08,-2.78209916666667,26.1093772916667,79.8399767375,19.0858125,15.801,23.443,0,311.852147429218,0.384026395833333,0.380827770833333,0.250097916666667,24.2039166666667,23.9905,24.0565416666667
2023-05-09,-1.138445375,19.88508711875,62.292645,18.1690416666667,16.241,21.579,0.1,311.852147429218,0.383674333333333,0.374366666666667,0.238406229166667,24.3754375,23.7156458333333,22.9411041666667
2023-05-10,-3.39522064583333,24.8477420833333,73.9887124791667,18.558,16.061,22.683,0,311.852147429218,0.383429854166667,0.3651604375,0.229582645833333,24.4,23.3327291666667,23.0227916666667
2023-05-11,-3.30619083333333,19.320825625,53.4184922083333,18.1469791666667,15.101,22.147,0,311.852147429218,0.383352104166667,0.3547785,0.2185035,24.4,23.2447291666667,22.488125
2023-05-12,-3.7684649375,32.0195053125,71.3336925,18.0610208333333,14.02,23.32,0,311.852147429218,0.3828898125,0.343277,0.210806125,24.3645416666667,23.0465416666667,22.8728125
2023-05-13,-3.75301372916667,27.3996988125,73.305695125,19.241625,15.48,24.248,0,311.852147429218,0.382147875,0.328731229166667,0.2016409375,24.2077083333333,23.5559791666667,23.68525
2023-05-14,-3.53055468085106,34.991609787234,73.7682364659574,19.2291276595745,16.329,24.042,0,311.852147429218,0.381883,0.310780872340426,0.193274489361702,24.3527659574468,23.9843191489362,24.1516170212766
2023-05-15,-3.308330625,28.4667295,60.8555983958333,18.5895,14.765,23.401,0,311.852147429218,0.381132645833333,0.292450020833333,0.1854563125,24.4066666666667,24.1005625,23.9176458333333
2023-05-16,-3.88659163829787,29.9206169361702,61.4724838297872,18.6019361702128,14.349,23.735,0,311.852147429218,0.380991425531915,0.277598617021277,0.179428361702128,24.6382978723404,24.0544680851064,23.7777021276596
2023-05-17,-4.19992008333333,27.735292,60.5943569166667,19.0666041666667,15.983,23.059,0,311.852147429218,0.380161791666667,0.259979145833333,0.174823645833333,24.7,24.13825,24.0838333333333
2023-05-18,-3.9739705625,28.0365833333333,51.8630745833333,18.2932083333333,13.914,22.885,0,311.852147429218,0.37984725,0.238109708333333,0.170384770833333,24.7,24.1475833333333,23.8388958333333
2023-05-19,-3.12345389583333,25.2745739583333,49.557014625,18.374875,14.627,23.802,0,311.852147429218,0.379961104166667,0.222421541666667,0.166788916666667,24.7002916666667,23.9791666666667,23.5919166666667
2023-05-20,-3.850862,39.98044096875,74.5323513895833,19.4093541666667,13.126,26.121,0,311.852147429218,0.379483375,0.208484729166667,0.163008333333333,24.7005833333333,24.1184166666667,24.4092083333333
2023-05-21,-2.93624972083333,47.5525889583333,62.5948012083333,19.2740833333333,13.296,24.697,0,311.852147429218,0.3783625,0.196086854166667,0.158043729166667,24.7969375,24.6815,24.8546666666667
2023-05-22,-1.99140595744681,41.5724521276596,62.7467668723404,19.8334255319149,15.968,25.448,0,311.852147429218,0.377091446808511,0.187174468085106,0.155067382978723,24.9,25.1300638297872,25.6998723404255
