source	id	datetime	species	day_emerg	temp_cum	dvs_flush	dvs_mort	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_fru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_dst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	N_lit_fol[kgNm-2]	N_lit_fru[kgNm-2]	N_lit_frt[kgNm-2]	N_lit_ldst_below[kgNm-2]	N_lit_ldst_above[kgNm-2]	drought_rel	conduct_rel	vc_act_25[umol_m-2_s-1]	iso_act[nmol_m-2_s-1]	mono_act[nmol_m-2_s-1]	iso_emis[umol_m-2]	mono_emis[umol_m-2]	mono_storage_emis[umol_m-2]	ovoc_emis[umol_m-2]	dN_nh4_throughf[kgN_L-1]	dN_no3_throughf[kgN_L-1]
setup	0	2006-01-21 23:00:00	ANGA	19	2145.31	1	0	0	4.21515e-07	2.24467e-05	0	0	3.86456e-05	0	0.0016052	0	0	-0.000361548	0.000230907	0.000470443	0.000387257	0	0.00108861	0.000241375	0.000535067	0.0031644	0.469555	0.0925296	0.118459	0.0850755	0	0	0.203535	0.0925296	0.980814	10.6	6.07437e-07	0.0138334	0.010539	0.0116705	0	0	0.00352132	0	0	0.000111047	0	0	0	0	0	6.84982e-07	0	0	0.629743	0.230827	23.9	0	0	0	0	0	0	6.83134e-07	6.82129e-07
setup	0	2006-01-22 23:00:00	ANGA	19	2165.62	1	0	0	4.37482e-07	2.2064e-05	0	0	4.10308e-05	0	0.00223294	0	0	-0.000235739	0.000232775	0.000511549	0.000392519	0	0.00113684	0.000256644	0.000744314	0.00405023	0.469121	0.0923659	0.123212	0.0848144	0	0	0.208026	0.0923659	0.979078	10.6	6.06647e-07	0.0138579	0.0106367	0.0116912	0	0	0.00358215	0	0	0.000110598	0	0	0	0	0	6.84091e-07	0	0	0.606079	0.231554	23.9	0	0	0	0	0	0	6.81499e-07	6.8138e-07
setup	0	2006-01-23 23:00:00	ANGA	19	2186.82	1	0	0	4.67341e-07	2.20653e-05	0	0	4.27722e-05	0	0.00229266	0	0	-0.0002074	0.000241782	0.000551991	0.00040178	0	0.00119555	0.000265129	0.000764221	0.00422035	0.468824	0.0922242	0.128118	0.084574	0	0	0.212692	0.0922242	0.977576	10.6	6.05859e-07	0.0138792	0.01073	0.0117092	0	0	0.003645	0	0	0.000110259	0	0	0	0	0	6.83202e-07	0	0	0.581342	0.241138	23.9	0	0	0	0	0	0	6.81499e-07	6.8138e-07
setup	0	2006-01-24 23:00:00	ANGA	19	2207.94	1	0	0	5.09478e-07	2.21609e-05	0	0	4.23301e-05	0	0.00244985	1.61115e-05	0	-0.000198968	0.000246031	0.000576313	0.000403525	0	0.00122587	0.000265047	0.000821989	0.00453333	0.468606	0.0920904	0.133376	0.0843772	0	0	0.217753	0.0920904	0.976159	10.6	6.05071e-07	0.0138994	0.0108011	0.0117213	0	0	0.00370962	0	0	0.000109946	0	0	5.37048e-06	0	0	6.82314e-07	0	0	0.565687	0.287779	23.9	0	0	0	0	0	0	6.81753e-07	6.81496e-07
setup	0	2006-01-25 23:00:00	ANGA	19	2229.52	1	0	0	5.64415e-07	2.21132e-05	0	0	4.27884e-05	0	0.00231999	2.0233e-05	0	-0.000201588	0.000249322	0.000612978	0.000407525	0	0.00126983	0.000267269	0.000781866	0.00439462	0.468357	0.0919573	0.138339	0.0841905	0	0	0.222529	0.0919573	0.974747	10.6	6.04284e-07	0.0139195	0.0108879	0.011732	0	0	0.00377394	0	0	0.00010969	0	0	6.74434e-06	0	0	6.81427e-07	0	0	0.536712	0.272157	23.9	0	0	0	0	0	0	6.81375e-07	6.81323e-07
setup	0	2006-01-26 23:00:00	ANGA	19	2251.16	1	0	0	6.45003e-07	2.19646e-05	0	0	4.26462e-05	0	0.00252899	5.41275e-05	0	-0.000197409	0.000250788	0.000639484	0.000408575	0	0.00129885	0.000270235	0.000863289	0.00478363	0.468185	0.091829	0.143766	0.0840839	0	0	0.22785	0.091829	0.973388	10.6	6.03499e-07	0.0139389	0.0109364	0.0117316	0	0	0.00383873	0	0	0.000109448	0	0	1.80425e-05	0	0	6.80541e-07	0	0	0.506481	0.309555	23.9	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2006-01-27 23:00:00	ANGA	19	2273.14	1	0	0	7.31397e-07	2.1676e-05	0	0	4.165e-05	0	0.00211577	3.21565e-05	0	-0.000202129	0.000248166	0.000677576	0.000411261	0	0.001337	0.000261559	0.000721989	0.00422165	0.467906	0.0917	0.148266	0.0839279	0	0	0.232193	0.0917	0.97202	10.6	6.02714e-07	0.0139586	0.0110487	0.0117381	0	0	0.0039033	0	0	0.000109309	0	0	1.07188e-05	0	0	6.79656e-07	0	0	0.476691	0.242742	23.9	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2006-01-28 23:00:00	ANGA	19	2295.65	1	0.00311732	0	8.3164e-07	2.14237e-05	0	0	4.06418e-05	0	0.00201225	3.4436e-05	0	-0.00019774	0.000251898	0.000715513	0.000415762	0	0.00138317	0.000255036	0.0006858	0.00412096	0.467627	0.0915756	0.152536	0.0837814	0	0	0.236317	0.0915756	0.970701	10.6	6.01931e-07	0.0139775	0.0111633	0.0117434	0	0	0.00396668	0	0	0.000109106	0	0	1.14787e-05	0	0	6.78773e-07	0	0	0.450453	0.236753	23.8998	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2006-01-29 23:00:00	ANGA	19	2319.19	1	0.00367178	0	9.42829e-07	2.12501e-05	0	0	3.90868e-05	0	0.00163861	4.93959e-06	0	-0.000205497	0.000260346	0.000763435	0.00042415	0	0.00144793	0.000242461	0.000551677	0.00360058	0.467234	0.0913971	0.155965	0.0835668	0	0	0.239532	0.0913971	0.968809	10.6	9.35752e-07	0.013997	0.0113271	0.0117582	0	0	0.00402852	5.09334e-05	0	0.000108916	0	0	1.64653e-06	3.7732e-07	0	6.7789e-07	0	0	0.425535	0.201194	23.8997	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2006-01-30 23:00:00	ANGA	19	2343.44	1	0.00431468	0	1.05998e-06	2.10695e-05	0	0	3.79747e-05	0	0.00193349	4.29781e-05	0	-0.000203757	0.000269342	0.000797483	0.000430216	0	0.00149704	0.000240484	0.000659371	0.00411294	0.466927	0.0912131	0.160048	0.0834393	0	0	0.243488	0.0912131	0.966859	10.6	9.88344e-07	0.0140162	0.0114272	0.0117609	0	0	0.00408869	5.89756e-05	0	0.000108637	0	0	1.4326e-05	4.37506e-07	0	6.77009e-07	0	0	0.403296	0.244733	23.8996	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2006-01-31 23:00:00	ANGA	19	2366.83	1	0.00505822	0	1.18441e-06	2.07785e-05	0	0	3.55692e-05	0	0.00228107	9.37325e-05	0	-0.000200034	0.000266398	0.000808108	0.000426357	0	0.00150086	0.000234728	0.000796376	0.00471804	0.466726	0.0910238	0.164905	0.0834284	0	0	0.248333	0.0910238	0.964852	10.6	1.0483e-06	0.0140349	0.0114615	0.0117471	0	0	0.00414761	6.81142e-05	0	0.000108471	0	0	3.12442e-05	5.05993e-07	0	6.76129e-07	0	0	0.385579	0.306275	23.8994	0	0	0	0	0	0	6.81385e-07	6.81328e-07
setup	0	2006-02-01 23:00:00	ANGA	19	2389.24	1	0.00591593	0	1.30302e-06	2.02768e-05	0	0	3.32702e-05	0	0.00225241	0.000111385	0	-0.000192733	0.000261366	0.000816379	0.000418473	0	0.00149622	0.000224894	0.000798345	0.00471761	0.466552	0.0908305	0.169702	0.0834621	0	0	0.253164	0.0908305	0.962803	10.6	1.11642e-06	0.0140526	0.0114831	0.0117271	0	0	0.00420388	7.84697e-05	0	0.000108457	0	0	3.71283e-05	5.83695e-07	0	6.7525e-07	0	0	0.36339	0.315951	23.8992	0	0	0	0	0	0	6.81284e-07	6.81281e-07
setup	0	2006-02-02 23:00:00	ANGA	19	2411.34	1	0.00690282	0	1.43634e-06	1.96281e-05	0	0	3.09434e-05	0	0.00179942	7.67481e-05	0	-0.00019494	0.000255968	0.000838863	0.0004136	0	0.00150843	0.000207527	0.000637764	0.00403666	0.466269	0.0906259	0.173487	0.0834191	0	0	0.256906	0.0906259	0.960635	10.6	1.19359e-06	0.0140704	0.0115556	0.0117179	0	0	0.00425739	9.01724e-05	0	0.000108501	0	0	2.55827e-05	6.71594e-07	0	6.74372e-07	0	0	0.342833	0.245821	23.8989	0	0	0	0	0	0	6.8129e-07	6.81284e-07
setup	0	2006-02-03 23:00:00	ANGA	19	2432.98	1	0.00803538	0	1.55825e-06	1.89381e-05	0	0	2.84612e-05	0	0.00172014	8.29205e-05	0	-0.000187572	0.000251896	0.000852071	0.000408046	0	0.00151201	0.000193196	0.000609547	0.00394494	0.466	0.0904139	0.177101	0.0833948	0	0	0.260496	0.0904139	0.958387	10.6	1.28073e-06	0.0140873	0.0116207	0.0117061	0	0	0.00430795	0.000103353	0	0.000108445	0	0	2.76402e-05	7.70733e-07	0	6.73496e-07	0	0	0.325038	0.233511	23.8985	0	0	0	0	0	0	6.81286e-07	6.81282e-07
setup	0	2006-02-04 23:00:00	ANGA	19	2454.73	1	0.00933176	0	1.68779e-06	1.82947e-05	0	0	2.64457e-05	0	0.00145806	6.4323e-05	0	-0.000187473	0.000249073	0.000878485	0.000406691	0	0.00153425	0.000179166	0.000516673	0.00355248	0.465674	0.0901884	0.180131	0.0833304	0	0	0.263462	0.0901884	0.955997	10.6	1.37881e-06	0.014104	0.0117047	0.0116999	0	0	0.00435535	0.00011816	0	0.000108413	0	0	2.1441e-05	8.82213e-07	0	6.7262e-07	0	0	0.307875	0.193156	23.8979	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2006-02-05 23:00:00	ANGA	19	2476.87	1	0.0108118	0	1.82144e-06	1.77362e-05	0	0	2.33956e-05	0	0.000944202	3.88345e-06	0	-0.000197431	0.000249254	0.000913754	0.000409365	0	0.00157237	0.000155022	0.000323175	0.00275824	0.465194	0.0899417	0.182006	0.0831273	0	0	0.265133	0.0899417	0.953382	10.6	1.48887e-06	0.0141216	0.0118474	0.0117132	0	0	0.0044001	0.000134739	0	0.000108329	0	0	1.29448e-06	1.00719e-06	0	6.71746e-07	0	0	0.292472	0.135109	23.8972	0	0	0	0	0	0	6.81282e-07	6.8128e-07
setup	0	2006-02-06 23:00:00	ANGA	19	2498.92	1	0.0124971	0	1.92917e-06	1.72545e-05	0	0	2.0518e-05	0	0.00106346	2.92277e-05	0	-0.000190864	0.000250255	0.000929041	0.000408742	0	0.00158804	0.00014089	0.00036466	0.00298256	0.46477	0.0896811	0.184152	0.0829849	0	0	0.267137	0.0896811	0.950619	10.6	1.61197e-06	0.0141385	0.0119513	0.0117181	0	0	0.00444124	0.000153235	0	0.000108065	0	0	9.74257e-06	1.14688e-06	0	6.70872e-07	0	0	0.279725	0.148987	23.8963	0	0	0	0	0	0	6.81286e-07	6.81282e-07
setup	0	2006-02-07 23:00:00	ANGA	19	2521.02	1	0.0144111	0	2.04913e-06	1.68282e-05	0	0	1.69131e-05	0	0.000654098	0	0	-0.000247009	0.000247317	0.00095249	0.000408774	0	0.00160858	0.000117985	0.00022128	0.00233084	0.464063	0.0893693	0.185322	0.0827493	0	0	0.268071	0.0893693	0.947314	10.6	1.74922e-06	0.0141603	0.0120995	0.0117362	0	0	0.00447897	0.000173823	0	0.00010788	0	0	0	1.30252e-06	0	6.7e-07	0	0	0.266751	0.10592	23.895	0	0	0	0	0	0	6.81279e-07	6.81279e-07
