source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter[kgCha-1]	dN_litter[kgNha-1]	dN_dep[kgNha-1]	dN_up_floor[kgNha-1]	dN_up_min[kgNha-1]	dN_mineral_floor[kgNha-1]	dN_mineral_min[kgNha-1]	dN_nitrify_floor[kgNha-1]	dN_nitrify_min[kgNha-1]	dN_denitrify_floor[kgNha-1]	dN_denitrify_min[kgNha-1]	dN_chemo_floor[kgNha-1]	dN_chemo_min[kgNha-1]	C_plants_floor[kgCha-1]	C_plants_min[kgCha-1]	C_soil_floor[kgCha-1]	C_soil_min[kgCha-1]	C_aorg_floor[kgCha-1]	C_aorg_min[kgCha-1]	C_litter_raw[kgCha-1]	C_litter_floor[kgCha-1]	C_litter_min[kgCha-1]	C_mic_floor[kgCha-1]	C_mic_min[kgCha-1]	C_sol_floor[kgCha-1]	C_sol_min[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants_floor[kgNha-1]	N_plants_min[kgNha-1]	N_soil_floor[kgNha-1]	N_soil_min[kgNha-1]	N_aorg_floor[kgNha-1]	N_aorg_min[kgNha-1]	N_litter_raw[kgNha-1]	N_litter_floor[kgNha-1]	N_litter_min[kgNha-1]	N_mic_floor[kgNha-1]	N_mic_min[kgNha-1]	N_sol_floor[kgNha-1]	N_sol_min[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2006-01-21 23:00:00	0	10.9907	3.33664	0.000132836	0	0.00142772	-1.27055e-17	0.00068155	0.00308686	0.0127867	4.66649e-07	0	0	0	0.49971	0.00684982	0.0136526	0	0.228682	-0	0.303905	-0	0.299566	-0	0.0191196	-0	4.82003e-08	0	915.908	0	76444.6	0	157.781	0.578975	0	12.4507	0	148.726	0	0.0566636	0	0	0	22.4132	0	4915.69	0	15.8854	0.00868309	0	0.162567	0	16.6204	0	1.63278	0	0	0.295452
setup	0	2006-01-22 23:00:00	0	11.6071	3.30794	9.09841e-05	0	0.00138824	1.69407e-17	0.000688494	0.00292021	0.0103523	6.13164e-07	0	0	0	0.497692	0.00684091	0.0136288	0	0.225015	-0	0.29878	-0	0.293617	-0	0.0170627	-0	4.64555e-08	0	936.119	0	76441.8	0	157.994	0.571594	0	12.7899	0	148.707	0	0.0632029	0	0	0	23.0215	0	4915.48	0	15.8669	0.00857239	0	0.167228	0	16.582	0	1.60945	0	0	0.282121
setup	0	2006-01-23 23:00:00	0	12.189	3.36707	5.74447e-05	0	0.00134165	-4.23516e-18	0.000712836	0.00281186	0.00925737	7.04335e-07	0	0	0	0.496164	0.00683202	0.0136288	0	0.225326	-0	0.301369	-0	0.293497	-0	0.0159474	-0	4.82608e-08	0	957.113	0	76438.9	0	158.208	0.564168	0	13.1266	0	148.684	0	0.0707976	0	0	0	23.65	0	4915.26	0	15.8523	0.00846103	0	0.171877	0	16.5407	0	1.58719	0	0	0.283368
setup	0	2006-01-24 23:00:00	0	12.5026	3.45841	7.30326e-07	0	0.00131013	4.23516e-17	0.000726865	0.00261145	0.00743291	7.16331e-07	0	0	0	0.548463	0.00682314	0.0136325	0	0.226704	-0	0.303211	-0	0.295926	-0	0.0134118	-0	4.98028e-08	0	979.89	0	76436	0	158.491	0.556818	0	13.461	0	148.635	0	0.0870089	0	0	0	24.2962	0	4915.04	0	15.8498	0.00835079	0	0.176514	0	16.4913	0	1.56779	0	0	0.27465
setup	0	2006-01-25 23:00:00	0	12.9453	3.49037	7.44868e-07	0	0.00128157	2.5411e-17	0.000742882	0.0024103	0.00590409	8.55923e-07	0	0	0	0.56105	0.00681427	0.013627	0	0.226776	-0	0.302463	-0	0.294484	-0	0.0117392	-0	4.99737e-08	0	1001.38	0	76433.1	0	158.722	0.549709	0	13.7951	0	148.653	0	0.0984419	0	0	0	24.9394	0	4914.83	0	15.8425	0.00824418	0	0.181163	0	16.4485	0	1.54978	0	0	0.274832
setup	0	2006-01-26 23:00:00	0	13.3638	3.53882	1.61976e-05	0	0.00124955	-7.6233e-17	0.000743577	0.00215048	0.00440328	1.02716e-06	0	0	0	0.672939	0.00680541	0.0136256	0	0.226096	-0	0.30057	-0	0.290836	-0	0.00935289	-0	5.00785e-08	0	1025.32	0	76430.2	0	159.027	0.542947	0	14.1298	0	148.654	0	0.12923	0	0	0	25.5873	0	4914.62	0	15.8456	0.00814276	0	0.185833	0	16.3955	0	1.53522	0	0	0.263774
setup	0	2006-01-27 23:00:00	0	13.612	3.50421	8.57362e-07	0	0.00120845	4.23516e-18	0.000738431	0.00189311	0.00333406	1.3577e-06	0	0	0	0.599079	0.00679656	0.0136256	0	0.224074	-0	0.296691	-0	0.285785	-0	0.00776054	-0	4.90156e-08	0	1044.87	0	76427.3	0	159.306	0.536582	0	14.4668	0	148.653	0	0.13857	0	0	0	26.233	0	4914.41	0	15.8454	0.0080473	0	0.190541	0	16.3469	0	1.52168	0	0	0.2598
setup	0	2006-01-28 23:00:00	0	13.9785	3.5168	9.85667e-07	0	0.0011689	-5.50571e-17	0.000730595	0.00162686	0.00235368	1.87311e-06	0	0	0	0.605765	0.00678773	0.0136256	0	0.222553	-0	0.293565	-0	0.281876	-0	0.0062909	-0	4.88165e-08	0	1063.43	0	76424.4	0	159.594	0.530537	0	14.8041	0	148.643	0	0.168105	0	0	0	26.8668	0	4914.21	0	15.851	0.00795665	0	0.195262	0	16.2947	0	1.51042	0	0	0.253007
setup	0	2006-01-29 23:00:00	0	14.317	3.54045	1.03383e-06	0	0.00112898	-1.27055e-17	0.000736874	0.0013991	0.00168062	3.09159e-06	0	0	0	0.735787	0.0105521	0.0136256	0	0.22193	-0	0.293265	-0	0.279478	-0	0.00518711	-0	4.92709e-08	0	1077.89	0	76421.6	0	159.856	0.753853	0	15.1406	0	148.628	0	0.173682	0	0	0	27.4923	0	4914.01	0	15.8565	0.0116415	0	0.199982	0	16.2435	0	1.50129	0	0	0.246419
setup	0	2006-01-30 23:00:00	0	14.8252	3.60548	1.27541e-05	0	0.00109185	1.43996e-16	0.000747554	0.00120551	0.00123271	4.68411e-06	0	0	0	0.897517	0.0111452	0.0136256	0	0.221295	-0	0.292577	-0	0.276655	-0	0.0043796	-0	4.99241e-08	0	1095.69	0	76418.9	0	160.101	1.0112	0	15.4784	0	148.661	0	0.248404	0	0	0	28.1022	0	4913.81	0	15.8655	0.0158922	0	0.204736	0	16.19	0	1.4936	0	0	0.239235
