datetime	nee	h2o	LE	H	ET	LAI	SWC_1	SWC_2	SWC_3
10/09/2018	0.096093066	0.21884892	9.367979108	88.08726539	0.395	0.2	26.1622222	26.6080556	9.3774306
11/09/2018	0.066821863	0.231760268	9.905522531	89.97392971	0.415		26.2047222	26.3274306	9.1538194
12/09/2018	0.118386669	0.218866963	9.361051835	86.78749899	0.4		26.2234028	26.0579167	8.91875
13/09/2018	0.098044208	0.211842454	9.018885703	88.20538267	0.39		26.2645139	25.9209722	8.7501389
14/09/2018	0.116211578	0.200023781	8.70293827	86.45591044	0.372	0.3	26.6954861	25.7635417	8.6347917
15/09/2018	0.083736756	0.202901354	8.821975387	88.58208565	0.379		26.5127778	25.6552083	8.4697222
16/09/2018	0.114644966	0.200762603	8.726433548	88.14629204	0.377		26.1331944	25.5264583	8.2885417
17/09/2018	0.141612296	0.18816713	8.171940544	85.879943	0.36		25.7670139	25.2951389	8.1679861
18/09/2018	0.16418678	0.184799572	8.024634586	84.33186468	0.346	0.3	25.3910417	25.0513194	8.0357639
19/09/2018	0.125875137	0.181940697	7.899731223	87.15257704	0.348		25.4950694	25.036875	7.8555556
20/09/2018	0.161611011	0.179268662	7.858176224	85.51284756	0.341		25.5529861	25.0465278	7.8678472
21/09/2018	0.163979896	0.166775699	7.357611043	84.37173852	0.33		25.2551389	24.9892361	7.7704167
22/09/2018	0.177325544	0.1548612	6.80686246	83.57138644	0.311	0.3	25.6658333	24.8723611	7.5660417
23/09/2018	0.190658293	0.144646754	6.387728717	82.68512624	0.299		25.2199306	24.7201389	7.5507639
24/09/2018	0.173194582	0.146817204	6.483714094	82.8161653	0.302		25.3349306	24.606875	7.6052083
25/09/2018	0.146379809	0.139310791	6.100858838	82.7403085	0.285		25.1890972	24.6785417	7.5392361
26/09/2018	0.102569715	0.132016935	5.780500961	82.1711231	0.272	0.4	25.19	24.5701389	7.5272917
27/09/2018	0.076584614	0.132441051	5.798586417	81.73268257	0.274		25.2058333	24.5679861	7.390625
28/09/2018	0.033581515	0.125222284	5.478514843	83.07882787	0.271		25.1902778	24.5192361	7.4132639
29/09/2018	0.0501779	0.121741551	5.325217332	80.0927792	0.261		25.4079167	24.5172917	7.3676389
30/09/2018	0.017187817	0.105680098	4.549187274	80.6232872	0.238	0.3	25.1404861	24.5050694	7.3810417
01/10/2018	0.011599971	0.104878432	4.49262223	80.88443391	0.234		25.4419444	24.2905556	7.2364583
02/10/2018	0.171897562	0.175015897	7.592489496	79.82884302	0.34		25.1608333	24.1339583	7.0913889
03/10/2018	0.503184007	0.308661662	13.49835586	74.72184439	0.539		25.3767361	24.1384028	7.2429167
04/10/2018	0.69569553	0.383374921	16.79819861	72.8133562	0.651	0.4	25.1218056	24.1603472	7.0466667
05/10/2018	0.813163569	0.427366916	18.80260293	69.71429133	0.72		25.3197222	24.0375694	7.0446528
06/10/2018	0.87120626	0.479776634	21.11507087	68.91898953	0.796		25.1560417	24.1119444	7.0958333
07/10/2018	0.893994229	0.507450643	22.33493182	69.82490524	0.832		25.3180556	24.0406944	6.963125
08/10/2018	0.967567599	0.527120391	23.16523728	66.26693833	0.851	0.2	25.1156944	23.6729861	6.7302778
09/10/2018	0.959297715	0.544411721	23.92660807	67.28445912	0.876		25.1601389	23.5284028	7.031875
10/10/2018	0.999650721	0.561216307	24.73293332	66.33271989	0.898		24.8902778	23.5566667	7.3291667
11/10/2018	1.039388771	0.568876305	25.10062419	65.65418936	0.908		24.8665972	23.6529167	7.6786111
12/10/2018	0.842359558	0.512187404	22.53915666	69.29704522	0.82	0.2	24.6672917	23.7231944	7.9308333
13/10/2018	0.502512952	0.385916334	16.95741605	75.14875811	0.632		24.9860417	23.7852778	8.0996528
14/10/2018	0.300458115	0.312083991	13.66349237	78.98344102	0.523		24.7734722	23.848125	8.1315972
15/10/2018	0.171795208	0.276918707	12.10901627	81.56585139	0.473		24.6304167	23.9388889	8.1000694
16/10/2018	0.11704524	0.239204819	10.43959013	81.91299847	0.422	0.3	24.8119777	23.9247042	7.9785665
17/10/2018	0.062740095	0.213655776	9.313501421	84.11186008	0.394		25.0611111	23.9926389	7.9049306
18/10/2018	0.137404743	0.261582332	11.48248269	81.40658954	0.468		24.818125	24.0002778	7.8316667
19/10/2018	0.21223707	0.295362423	12.984759	76.25724504	0.526		24.5726389	23.9609722	7.6582639
20/10/2018	0.250918951	0.383628057	16.89916371	72.0530614	0.66	0.3	24.8388194	23.9509028	7.6197917
21/10/2018	0.297423513	0.419432786	18.34546178	68.87618623	0.706		24.9247917	23.8470139	7.4527778
22/10/2018	0.402162723	0.512288233	22.41393704	63.94045018	0.85		24.6507639	23.7128472	7.2770139
23/10/2018	0.514930544	0.580003446	25.40959543	60.71455165	0.948		24.8786111	23.3925	6.8883333
24/10/2018	0.532463262	0.648050204	28.44743264	58.21372137	1.049	0.3	24.8366667	23.1000694	6.6525
25/10/2018	0.571937625	0.670999229	29.46060964	56.18212783	1.079		24.9036111	22.83375	6.7672917
26/10/2018	0.56222992	0.683077394	29.99725513	57.64851137	1.093		24.7361111	22.8327083	6.9135417
27/10/2018	0.599779124	0.691793362	30.38128907	55.04292058	1.102		24.5723611	22.8213194	6.9674306
28/10/2018	0.564682679	0.744810634	32.70255672	57.79844216	1.19	0.4	24.4652083	22.8804861	7.1741667
29/10/2018	0.56597296	0.76519789	33.59254484	62.92553701	1.214		24.1535417	22.9373611	7.349375
30/10/2018	0.533403394	0.721740791	31.65616023	66.13917468	1.153		24.5025694	23.0679861	7.585625
31/10/2018	0.433657737	0.725441036	31.92163022	70.79639493	1.165		24.3406944	23.2229861	7.8225694
01/11/2018	0.300378179	0.645285546	28.4641838	75.08588523	1.049	0.3	24.1870474	23.2805014	7.8545265
02/11/2018	0.187670014	0.591504641	25.96005649	78.22881362	0.967		24.1675	23.2265278	7.7484722
03/11/2018	0.16499862	0.536016565	23.50462769	79.68768464	0.886		24.2968056	23.0944444	7.7238194
04/11/2018	0.186002962	0.503595427	22.07315944	77.17680588	0.848		24.4453472	23.0965972	7.8748611
05/11/2018	0.18596623	0.485622328	21.28083582	75.7156573	0.82	0.4	24.1172222	23.1822222	8.0845833
06/11/2018	0.093456279	0.487288635	21.36996052	78.37842278	0.825		24.2627083	23.3284028	8.238125
07/11/2018	-0.05287191	0.386446112	17.02517387	82.28107391	0.668		24.2634722	23.4277083	8.3500694
08/11/2018	-0.16179042	0.319787876	14.08289585	82.97560718	0.566		24.3159722	23.5014583	8.3192361
09/11/2018	-0.219632283	0.268239695	11.80822414	85.43988849	0.488	0.2	24.4621528	23.4539583	8.0159028
10/11/2018	-0.224220766	0.228018962	9.985237142	85.65661462	0.428		24.4572917	23.3733333	7.9365278
11/11/2018	-0.229141585	0.216044021	9.457355999	86.20223802	0.406		24.1375087	23.4163535	7.870842
12/11/2018	-0.225027239	0.197232024	8.728943547	82.98608079	0.39		24.1229167	23.4383333	7.7499306
13/11/2018	-0.211502364	0.1881886	8.336077099	84.64683659	0.38	0.2	24.4422222	23.535	7.6579167
14/11/2018	-0.236592483	0.183890672	8.014264551	89.21670231	0.373		24.6324306	23.4465278	7.5907639
15/11/2018	0.169192189	0.385602779	16.93133681	85.32518206	0.654		24.6940278	23.3309722	7.5717361
16/11/2018	0.583703896	0.535244433	23.53648763	77.89382256	0.876		24.8561111	23.2752083	7.4820833
17/11/2018	0.920002928	0.662309814	29.04260809	71.73853701	1.07	0.3	24.5911111	23.1574306	7.31375
18/11/2018	1.140079882	0.831342936	36.49783132	68.28544129	1.328		24.4020833	23.008125	7.2681944
19/11/2018	1.271433921	0.948878663	41.68491694	64.36907155	1.505		24.510625	23.0084028	7.2215278
20/11/2018	1.313913246	1.121171903	49.34404601	59.92262206	1.762		24.1640972	22.6239583	20.388125
21/11/2018	1.33717756	1.314364688	57.89199224	53.9886903	2.026	0.3	24.1458333	22.2394444	24.5436806
22/11/2018	1.382521805	1.504493328	66.307454	51.97657017	2.298		23.9159722	22.2333333	21.6902083
23/11/2018	1.345923949	1.6711079	73.65859781	45.75353305	2.549		23.725625	22.4751389	20.0852778
24/11/2018	1.202612089	1.843851739	81.42709381	39.62658943	2.801		23.6629167	22.9517361	19.0909028
25/11/2018	0.714759328	1.862309043	82.23734172	38.9528713	2.858	0.4	23.5645833	23.1011806	18.6377083
26/11/2018	0.249462879	1.873116566	82.71745132	39.31297991	2.876		23.6272222	23.1035417	27.0709028
27/11/2018	-0.141371986	1.882009892	83.11337039	38.12276498	2.892		23.5790972	23.7054861	24.4663194
28/11/2018	-0.635863898	1.915481193	84.5919447	37.99713317	2.948		23.52375	24.4526389	22.8279861
29/11/2018	-1.049563321	1.966793652	86.85830085	35.39370162	3.032	0.3	23.4641667	24.9826389	24.5934028
30/11/2018	-1.430562678	1.96942052	86.97613522	33.81823478	3.041		23.5190972	25.4165278	25.1472222
01/12/2018	-1.688252233	2.02500212	89.39628503	33.97949515	3.155		23.4424306	26.0967361	24.3734028
02/12/2018	-1.987423856	2.071464411	91.434489	34.35652461	3.231		23.1580556	26.8524306	23.6768056
03/12/2018	-2.308752419	2.071350801	91.44208554	32.58252598	3.232	0.4	23.2084028	27.8479167	23.0345833
04/12/2018	-2.521580939	2.120819697	93.60732912	32.70198791	3.313		22.9527083	28.6759722	26.3653472
05/12/2018	-2.425242856	2.022730669	89.27783614	30.80041281	3.161		23.0202778	35.7855556	29.8789583
06/12/2018	-2.42056177	1.990083704	87.83505261	29.9628132	3.105		23.1209028	37.1809028	27.7319444
07/12/2018	-2.613292172	2.049729262	90.4516784	29.59457236	3.195	0.4	22.9739583	36.8258333	26.0738889
08/12/2018	-2.592028504	2.053518628	90.62592325	28.37927447	3.199		23.0634028	40.4152083	31.2484028
09/12/2018	-2.455369548	2.077335175	91.68048636	28.36371823	3.218		23.053125	38.8014583	28.6342361
10/12/2018	-2.412858248	2.08982245	92.23699148	27.9463237	3.24		22.8490278	38.2113889	26.94625
11/12/2018	-2.281996916	2.048557132	90.51456228	28.18681679	3.161	0.4	22.900625	43.0002083	34.0122222
12/12/2018	-2.129774434	2.063210827	91.16914342	27.60931778	3.179		23.0833681	40.351357	30.3244259
13/12/2018	-1.982533217	2.120748969	93.68576928	29.5068373	3.269		27.1961646	39.488424	28.6089958
14/12/2018	-1.658446036	2.040367418	90.14818035	28.15553318	3.143		29.3931612	41.3941382	33.1267969
15/12/2018	-1.700648677	2.104975299	92.99139317	29.19359829	3.223	0.5	31.5838328	42.6537282	35.8982578
16/12/2018	-1.776711997	2.136341896	94.35806391	29.75066567	3.277		31.5552301	40.7414923	32.755788
17/12/2018	-1.68297176	2.095568562	92.56160766	30.34045534	3.217		31.3349791	40.0785814	30.2511127
18/12/2018	-1.685133822	2.07702814	91.73148735	30.42317471	3.182		31.2211806	39.6704861	28.358125
19/12/2018	-1.811540347	2.060707299	91.00863592	31.70736647	3.172	0.6	30.7390972	39.2847917	26.3893056
20/12/2018	-1.727168343	2.036357135	89.91948527	32.08864356	3.134		30.5870049	39.2296039	25.1410702
21/12/2018	-1.914112618	1.978378779	87.27869684	32.602374	3.058		30.4619777	39.0404596	23.8732591
22/12/2018	-2.128087735	1.893485777	83.53613422	33.07877826	2.929		30.1560585	38.8567549	22.7616992
23/12/2018	-2.141750227	1.836347279	81.01515748	33.56569981	2.836	0.7	29.9339596	38.949826	21.4029923
24/12/2018	-2.427463924	1.879461872	82.90053343	35.75472369	2.908		29.9471816	38.9588727	19.6793319
25/12/2018	-2.747825724	1.859095488	81.99440269	38.06946711	2.89		29.8944444	38.6539583	18.13875
26/12/2018	-2.927539877	1.838422165	81.08264558	41.3539228	2.853		29.6649306	38.4224306	16.8300694
27/12/2018	-3.094448455	1.81419091	80.13536219	42.94356813	2.814	1.3	29.37375	38.2259028	15.948125
28/12/2018	-3.190910055	1.787666312	78.96415138	44.01803688	2.779		29.5173974	38.2783577	15.3533055
29/12/2018	-3.272805203	1.762372631	77.83629178	45.28518118	2.739		29.2315972	38.2453472	14.8818056
30/12/2018	-2.940217991	1.737012645	76.7330307	44.47621879	2.701		29.4184722	37.9327778	14.3866667
31/12/2018	-2.698577488	1.736403754	76.71602557	43.96216994	2.699	1.3	29.4786806	37.6872222	14.0615972
01/01/2019	-2.677330356	1.781441273	78.69996706	44.74654609	2.775		29.4609028	37.2558333	13.5581944
02/01/2019	-2.700684304	1.787983129	78.98513506	44.75213796	2.788		29.4152778	36.5171528	13.3313194
03/01/2019	-2.659080072	1.766022841	78.04109712	44.9939405	2.478		29.4267223	36.2271399	12.9810717
04/01/2019	-2.531792379	1.755216949	77.5859051	44.25981669	2.44	1.4	29.3120833	35.9315972	12.2640278
05/01/2019	-2.3492455	1.780345793	78.71321554	42.51219841	2.428		29.1113889	35.4299306	11.9739583
06/01/2019	-2.105183956	1.75163832	77.28016218	41.92994157	2.39		28.971786	35.1276581	12.0859625
07/01/2019	-1.917798009	1.719121271	75.84869766	42.31429818	2.354		28.946875	34.8847917	12.1923611
08/01/2019	-1.611802792	1.72326158	76.04451416	40.79093339	2.06	1.4	28.9279167	34.2588194	12.0338194
09/01/2019	-2.131619575	1.749797808	77.18959451	43.82773335	2.003		28.9194444	33.7061806	12.2161806
10/01/2019	-2.462836641	1.768799253	77.99100929	45.89492023	1.917		28.8481944	33.419375	12.2798611
11/01/2019	-2.308651063	1.622296212	71.5131365	45.15665403	1.661		28.7975	32.9040972	12.0506944
12/01/2019	-2.25459099	1.462657841	64.49643899	46.08238125	1.389	1.3	28.6480556	32.2764583	11.8484028
13/01/2019	-2.25459099	1.462657841	64.49643899	46.08238125	1.728		28.5724306	31.6460417	11.6633333
14/01/2019	-2.25459099	1.462657841	64.49643899	46.08238125	1.728		28.4111343	31.1368824	11.5265832
15/01/2019	-2.25459099	1.462657841	64.49643899	46.08238125	1.536		28.4083333	30.5191667	11.2438889
16/01/2019	-2.517470729	1.517588315	66.90224963	51.40645792	1.209	1.5	28.325625	30.0672917	11.0532639
17/01/2019	-99.99	-99.99	-99.99	-99.99			28.1345833	29.6018056	10.965625
18/01/2019	-99.99	-99.99	-99.99	-99.99			28.0640278	29.151875	10.7849306
19/01/2019	-99.99	-99.99	-99.99	-99.99			27.9533333	28.7051389	10.5760417
20/01/2019	-99.99	-99.99	-99.99	-99.99		1.5	27.7427778	28.1856944	10.3702778
21/01/2019	-99.99	-99.99	-99.99	-99.99			27.5217361	27.6117361	10.1178472
22/01/2019	-99.99	-99.99	-99.99	-99.99			27.496875	27.029375	9.8953472
23/01/2019	-99.99	-99.99	-99.99	-99.99			27.3504167	26.5408333	9.5689583
24/01/2019	-99.99	-99.99	-99.99	-99.99		1.4	27.2410417	26.0386111	9.4494444
25/01/2019	-99.99	-99.99	-99.99	-99.99			27.0650694	25.7283333	9.2786806
26/01/2019	-99.99	-99.99	-99.99	-99.99			26.8766017	25.3810585	9.1027159
27/01/2019	-99.99	-99.99	-99.99	-99.99			26.7128472	25.1015278	8.9514583
28/01/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.836	1.4	26.5135417	24.8301389	8.710625
29/01/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586		26.5236111	24.4739583	8.6878472
30/01/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586		26.2447222	24.2629861	8.491875
31/01/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586		26.0059028	24.0979861	8.4365278
01/02/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586	1.3	25.7647228	23.7745324	8.2627338
02/02/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586		25.6257302	23.5849791	8.1891516
03/02/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586		25.5454167	23.3026389	8.1089583
04/02/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.586		25.3895139	23.2111111	7.9870833
05/02/2019	-0.227792138	0.781348974	33.05441804	81.80978468	0.551	1	25.4943056	22.9213889	7.8225694
06/02/2019	-0.094617179	0.598929148	25.69346304	91.30513804	0.598		25.4721528	22.69875	7.7472222
07/02/2019	-0.107659964	0.350158494	15.41187194	97.2848608	0.412		25.3345139	22.5092361	7.7347917
08/02/2019	-0.17637648	0.30165087	13.27707827	95.1739604	0.486		25.2059028	22.3578472	7.6645833
09/02/2019	-0.156490527	0.278658295	12.26418869	93.38418645	0.468	1.6	24.9063158	22.1851228	7.5556491
10/02/2019	-0.172616499	0.278794266	12.26728768	93.83116422	0.468		24.6571528	22.02375	7.4661806
11/02/2019	-0.116630365	0.270183989	11.88868481	91.25021553	0.459		24.7124036	21.9081289	7.4199019
12/02/2019	-0.112147952	0.263263482	11.53528289	91.4865571	0.449		24.6287204	21.7944367	7.3428373
13/02/2019	-0.090514325	0.26184207	11.47483281	90.99748646	0.448	1.1	24.654375	21.6274306	7.2
14/02/2019	-0.079137802	0.27004532	11.83576226	91.30682059	0.461		24.4014593	21.4734538	7.1111188
15/02/2019	-0.085776999	0.268579749	11.77393834	92.35637755	0.465		24.3003484	21.416446	7.1662718
16/02/2019	0.049698827	0.330908069	14.41278821	89.99803608	0.558		24.2944444	21.3565278	7.1608333
17/02/2019	0.077296511	0.359403022	15.66972759	89.81016986	0.6	1	24.3580959	21.1820709	7.1460042
18/02/2019	0.110190782	0.389693397	17.00478005	89.46120854	0.646		24.1445758	21.1605007	7.1319889
19/02/2019	0.158805568	0.403292323	17.60559529	87.44096129	0.666		24.2427778	21.1302083	7.1338194
20/02/2019	0.26531319	0.460922058	20.11726087	85.63979736	0.751		24.1899861	21.0229485	6.9794159
21/02/2019	0.261175943	0.47201445	20.6026992	86.43975588	0.77	0.7	24.1822222	20.7715972	6.7534028
22/02/2019	0.275591451	0.478875296	20.93813326	86.50702111	0.779		24.2501389	20.4871528	6.8190278
23/02/2019	0.278418939	0.486208918	21.07166688	86.80835596	0.781		24.178125	20.4970833	7.081875
24/02/2019	0.273840768	0.479047544	20.73322682	86.96109412	0.764		24.0810848	20.333936	7.1070236
25/02/2019	0.310682401	0.472462746	20.37065825	80.95079604	0.745	0.6	23.9410453	20.2809756	7.0606272
26/02/2019	0.203656486	0.386536523	16.53042765	81.10836181	0.625		24.05762	20.2076548	7.1344468
27/02/2019	0.472458434	0.469749427	20.19354598	77.95679677	0.753		23.8413074	20.2222531	7.0876912
28/02/2019	0.891242913	0.632049864	27.33782242	75.34225092	1		23.75	20.2049306	6.9970139
01/03/2019	1.140885177	0.777774063	33.73789087	74.99333104	1.217	0.6	23.6002778	20.2307639	6.9754167
02/03/2019	1.215737187	0.855261074	37.15914844	73.68768034	1.327		23.6170833	20.2242361	6.7498611
03/03/2019	1.213658309	0.957342291	41.64368493	72.20382155	1.48		23.7318056	20.1475	6.7697917
04/03/2019	1.183592693	1.025149868	44.62645586	70.46952554	1.584		23.7317361	20.1140972	6.6765972
05/03/2019	1.13195115	1.091475445	47.73578239	68.76227481	1.695	0.5	23.7682841	19.8080169	14.4552039
06/03/2019	1.101050269	1.141120878	49.94771574	66.9892779	1.776		23.7779861	19.7449306	16.3958333
07/03/2019	1.135382212	1.189956084	52.16774984	71.07037535	1.853		23.8859722	19.8222222	15.9155556
08/03/2019	1.065861684	1.227177449	53.96650806	72.15656248	1.906		23.8952083	19.8674306	15.0071528
09/03/2019	0.775847225	1.121479456	49.31320507	74.70909399	1.743	0.5	23.9387769	19.9299514	13.7667825
10/03/2019	0.325704588	0.944595602	41.52496635	78.36106914	1.471		23.8938022	19.9366992	12.5688719
11/03/2019	0.049508962	0.79651894	35.01792587	79.61123111	1.252		23.8892361	20.0461806	11.6003472
12/03/2019	-0.12062936	0.667394065	29.34652072	82.33644619	1.066		23.835	20.1877778	11.0134722
13/03/2019	-0.102914667	0.566297754	24.87825759	84.35471802	0.913	0.3	23.7029861	20.2493056	10.5861806
14/03/2019	-0.042021596	0.502364997	22.06396188	85.79749549	0.819		23.7031944	20.2140278	10.1935417
15/03/2019	-0.008240812	0.431820274	18.95840378	87.87451569	0.712		23.7371091	20.1768589	9.8936067
16/03/2019	0.051174682	0.383928877	16.777209	89.14751336	0.637		23.7786806	20.1959722	9.5668056
17/03/2019	0.029100184	0.338505937	14.77949957	89.27014696	0.577	0.5	23.6843056	20.2699306	9.2821528
18/03/2019	0.044340373	0.30085845	13.12396169	89.85257112	0.519		23.5973611	20.2704861	8.9552083
19/03/2019	0.069824827	0.287185791	12.37615762	90.01691804	0.499		23.5855641	20.2741416	8.6730203
20/03/2019	0.108020166	0.277133825	11.93030384	88.10558743	0.487		23.5194019	20.2148122	8.361822
21/03/2019	0.123399596	0.275738775	11.86468936	89.44863093	0.485	0.4	23.5764296	20.2190377	8.1672943
22/03/2019	0.133686399	0.260384871	11.19017474	89.10837932	0.464		23.5694986	20.243663	8.0128134
23/03/2019	0.09511681	0.243432296	10.47293671	89.86824445	0.444		23.6437413	20.1642559	7.8073018
24/03/2019	0.055316085	0.225949928	9.704998382	89.88525018	0.42		23.7840972	20.1704861	7.7694444
25/03/2019	0.080541881	0.221839549	9.524821976	88.4992912	0.416	0.4	23.7244243	20.1087927	7.6495464
26/03/2019	0.326019729	0.330068028	14.36319079	85.98395218	0.583		23.5272601	20.114395	7.5853268
27/03/2019	0.330972975	0.362038392	15.77254681	85.85786008	0.622		23.5788889	20.0772917	7.3865278
28/03/2019	0.362880907	0.374125457	16.3039834	84.32103642	0.641		23.6022917	19.9278472	7.2422917
29/03/2019	0.351150656	0.378445166	16.62468966	84.63410853	0.652	0.3	23.6163649	19.9382312	7.1735376
30/03/2019	0.341510955	0.367050531	16.12576552	85.60783084	0.635		23.6205575	19.8289199	6.9649477
31/03/2019	0.310789726	0.349562736	15.36121707	84.48136635	0.609		23.4032639	19.6288889	6.8279167
01/04/2019	0.335533254	0.351402572	15.44360249	84.39348879	0.612		23.5259722	19.54	7.1092361
02/04/2019	0.347835729	0.347187822	15.24884715	83.32875462	0.605	0.4	23.5742361	19.5665278	7.240625
03/04/2019	0.333269733	0.34612328	15.20148311	82.27867949	0.601		23.5025	19.5889583	7.3776389
04/04/2019	0.352205667	0.357699959	15.71021026	82.4845944	0.616		23.5127437	19.5475627	7.2288301
05/04/2019	-99.99	-99.99	-99.99	-99.99	0.428		23.5269499	19.4119081	7.014415
06/04/2019	-99.99	-99.99	-99.99	-99.99	0.366	0.5	23.42125	19.2061111	6.9058333
07/04/2019	-99.99	-99.99	-99.99	-99.99	0.345		23.2284028	19.16125	6.87
08/04/2019	-99.99	-99.99	-99.99	-99.99	0.319		23.3035417	19.2169444	6.8534028
09/04/2019	-99.99	-99.99	-99.99	-99.99	0.322		23.4088889	19.2089583	6.8195139
10/04/2019	-99.99	-99.99	-99.99	-99.99	0.334	0.4	23.4355556	19.2100694	6.7298611
11/04/2019	-99.99	-99.99	-99.99	-99.99	0.305		23.4393056	19.1875694	6.6345139
12/04/2019	-99.99	-99.99	-99.99	-99.99	0.184		23.4535417	19.1261806	6.5502778
13/04/2019	-99.99	-99.99	-99.99	-99.99	0.166		23.5169916	19.1385097	6.4641365
14/04/2019	-99.99	-99.99	-99.99	-99.99	0.225	0.7	23.5383333	19.0656944	6.39625
15/04/2019	-99.99	-99.99	-99.99	-99.99	0.235	0.3	23.4438194	18.8995833	6.2919444
16/04/2019	-99.99	-99.99	-99.99	-99.99	0.286		23.2640278	18.9002778	6.3325694
17/04/2019	-99.99	-99.99	-99.99	-99.99	0.496		23.2613398	18.8954672	6.2990934
