row,time,.lai.sim.val
231,2018-08-20T23:00:00,1.2977
232,2018-08-21T23:00:00,1.29075
233,2018-08-22T23:00:00,1.28314
234,2018-08-23T23:00:00,1.27473
235,2018-08-24T23:00:00,1.26502
236,2018-08-25T23:00:00,1.25479
237,2018-08-26T23:00:00,1.24356
238,2018-08-27T23:00:00,1.23166
239,2018-08-28T23:00:00,1.2191100000000001
240,2018-08-29T23:00:00,1.20515
241,2018-08-30T23:00:00,1.19041
242,2018-08-31T23:00:00,1.1745700000000001
243,2018-09-01T23:00:00,1.15677
244,2018-09-02T23:00:00,1.13792
245,2018-09-03T23:00:00,1.1176700000000002
246,2018-09-04T23:00:00,1.0963200000000002
247,2018-09-05T23:00:00,1.0731899999999999
248,2018-09-06T23:00:00,1.04906
249,2018-09-07T23:00:00,1.0236
250,2018-09-08T23:00:00,0.996556
251,2018-09-09T23:00:00,0.9681620000000001
252,2018-09-10T23:00:00,0.937782
253,2018-09-11T23:00:00,0.9062129999999999
254,2018-09-12T23:00:00,0.873074
255,2018-09-13T23:00:00,0.8384020000000001
256,2018-09-14T23:00:00,0.802429
257,2018-09-15T23:00:00,0.765467
258,2018-09-16T23:00:00,0.727292
259,2018-09-17T23:00:00,0.688385
260,2018-09-18T23:00:00,0.6483300000000001
261,2018-09-19T23:00:00,0.607902
262,2018-09-20T23:00:00,0.567078
263,2018-09-21T23:00:00,0.5256970000000001
264,2018-09-22T23:00:00,0.484678
265,2018-09-23T23:00:00,0.443905
266,2018-09-24T23:00:00,0.403955
267,2018-09-25T23:00:00,0.364748
268,2018-09-26T23:00:00,0.32655300000000004
269,2018-09-27T23:00:00,0.289577
270,2018-09-28T23:00:00,0.254214
271,2018-09-29T23:00:00,0.220619
272,2018-09-30T23:00:00,0.18868
273,2018-10-01T23:00:00,0.158795
274,2018-10-02T23:00:00,0.131147
275,2018-10-03T23:00:00,0.105968
276,2018-10-04T23:00:00,0.0833321
277,2018-10-05T23:00:00,0.06334490000000001
278,2018-10-06T23:00:00,0.046093199999999994
279,2018-10-07T23:00:00,0.031610900000000004
280,2018-10-08T23:00:00,0.0199134
281,2018-10-09T23:00:00,0.0109769
282,2018-10-10T23:00:00,0.00474545
283,2018-10-11T23:00:00,0.00112574
284,2018-10-12T23:00:00,0.0
285,2018-10-13T23:00:00,0.0
286,2018-10-14T23:00:00,0.0
287,2018-10-15T23:00:00,0.0
288,2018-10-16T23:00:00,0.0
289,2018-10-17T23:00:00,0.0
290,2018-10-18T23:00:00,0.0
291,2018-10-19T23:00:00,0.0
292,2018-10-20T23:00:00,0.0
293,2018-10-21T23:00:00,0.0
294,2018-10-22T23:00:00,0.0
295,2018-10-23T23:00:00,0.0
296,2018-10-24T23:00:00,0.0
297,2018-10-25T23:00:00,0.0
298,2018-10-26T23:00:00,0.0
299,2018-10-27T23:00:00,0.0
300,2018-10-28T23:00:00,0.0
301,2018-10-29T23:00:00,0.0
302,2018-10-30T23:00:00,0.0
303,2018-10-31T23:00:00,0.0
304,2018-11-01T23:00:00,0.00375131
305,2018-11-02T23:00:00,0.00473277
306,2018-11-03T23:00:00,0.00594569
307,2018-11-04T23:00:00,0.00743678
308,2018-11-05T23:00:00,0.00926024
309,2018-11-06T23:00:00,0.0114786
310,2018-11-07T23:00:00,0.014163299999999998
311,2018-11-08T23:00:00,0.017395599999999997
312,2018-11-09T23:00:00,0.0212671
313,2018-11-10T23:00:00,0.0258803
314,2018-11-11T23:00:00,0.0313487
315,2018-11-12T23:00:00,0.037797199999999996
316,2018-11-13T23:00:00,0.0453617
317,2018-11-14T23:00:00,0.0541888
318,2018-11-15T23:00:00,0.0644347
319,2018-11-16T23:00:00,0.07626419999999999
320,2018-11-17T23:00:00,0.089849
321,2018-11-18T23:00:00,0.105366
322,2018-11-19T23:00:00,0.122992
323,2018-11-20T23:00:00,0.142905
324,2018-11-21T23:00:00,0.165278
325,2018-11-22T23:00:00,0.190272
326,2018-11-23T23:00:00,0.218038
327,2018-11-24T23:00:00,0.248705
328,2018-11-25T23:00:00,0.282379
329,2018-11-26T23:00:00,0.319139
330,2018-11-27T23:00:00,0.359026
331,2018-11-28T23:00:00,0.40204
332,2018-11-29T23:00:00,0.448146
333,2018-11-30T23:00:00,0.49722200000000005
334,2018-12-01T23:00:00,0.549148
335,2018-12-02T23:00:00,0.603684
336,2018-12-03T23:00:00,0.6606
337,2018-12-04T23:00:00,0.71958
338,2018-12-05T23:00:00,0.780145
339,2018-12-06T23:00:00,0.8419260000000001
340,2018-12-07T23:00:00,0.904338
341,2018-12-08T23:00:00,0.966772
342,2018-12-09T23:00:00,1.02846
343,2018-12-10T23:00:00,1.08911
344,2018-12-11T23:00:00,1.14717
345,2018-12-12T23:00:00,1.20289
346,2018-12-13T23:00:00,1.25595
347,2018-12-14T23:00:00,1.30513
