source	id	datetime	C_mic_1[kgCm-2]	C_mic_2[kgCm-2]	C_mic_3[kgCm-2]	C_aorg[kgCm-2]	N_nh4[kgNm-2]	N_no3_ae[kgNm-2]	N_no3_an[kgNm-2]	C_doc_ae[kgCm-2]	C_doc_an[kgCm-2]	C_acetate_ae[kgCm-2]	C_acetate_an[kgCm-2]	sC_ch4_ebul[kgCm-2]	sC_ch4_plant[kgCm-2]	sC_ch4_soil[kgCm-2]	sC_ch4_water[kgCm-2]	sC_ch4_leach[kgCm-2]	sC_ch4_prod[kgCm-2]	sC_ch4_ox[kgCm-2]	sC_acetate_prod[kgCm-2]	sC_doc_prod[kgCm-2]	sN_no2_nit[kgNm-2]	sN_no3_denit[kgNm-2]	sN_n2o_ebul[kgNm-2]	sN_n2o_plant[kgNm-2]	sN_n2o_soil[kgNm-2]	sN_n2o_water[kgNm-2]	sN_no_ebul[kgNm-2]	sN_no_plant[kgNm-2]	sN_no_soil[kgNm-2]	sN_no_water[kgNm-2]	sN_nh3_ebul[kgNm-2]	sN_nh3_plant[kgNm-2]	sN_nh3_soil[kgNm-2]	sN_nh3_water[kgNm-2]	sO_plant_o2_cons[kgOm-2]	sO_plant_o2_prod[kgOm-2]	sO_algae_o2_prod[kgOm-2]	ph_watertable[-]	ph_soil_surface[-]	anvf[%]
setup	0	2008-01-01 20:00:00	0.00224864	0.00259153	0.00254408	0.0646397	0.00038587	0.000104545	1.44168e-05	0.000413395	0.00016983	1.40984e-06	1.16851e-05	0	0	-1.7117e-09	0	2.06795e-25	5.22859e-09	6.50261e-09	1.1682e-06	2.50557e-05	3.12726e-06	7.95742e-08	0	0	-3.45436e-10	0	0	0	4.37772e-10	0	0	0	1.36223e-11	0	0	0	0	7	7.5	0.625568
setup	0	2008-01-01 21:00:00	0.00223808	0.00259526	0.0025388	0.0646453	0.000384446	0.000105832	1.58928e-05	0.00042251	0.000180311	1.50216e-06	1.27237e-05	0	0	-1.70547e-09	0	5.37667e-24	5.60499e-09	6.88824e-09	1.20986e-06	2.44975e-05	2.95183e-06	8.53913e-08	0	0	-2.2576e-10	0	0	0	4.45915e-10	0	0	0	1.38229e-11	0	0	0	0	7	7.5	0.628349
setup	0	2008-01-01 22:00:00	0.00222783	0.00259898	0.00253346	0.0646507	0.000383143	0.000108101	1.62585e-05	0.00043656	0.000185583	1.79002e-06	1.35896e-05	0	0	-1.69617e-09	0	-4.54949e-24	5.99011e-09	7.24426e-09	1.23835e-06	2.42422e-05	2.81997e-06	8.50441e-08	0	0	-1.01973e-10	0	0	0	4.51603e-10	0	0	0	1.40175e-11	0	0	0	0	7	7.5	0.624254
setup	0	2008-01-01 23:00:00	0.00221783	0.00260281	0.00252806	0.064656	0.000381916	0.000108966	1.78864e-05	0.000443927	0.000196806	1.88477e-06	1.46945e-05	0	0	-1.67777e-09	0	1.32349e-23	6.38364e-09	7.6478e-09	1.28533e-06	2.36219e-05	2.68653e-06	9.1435e-08	0	0	2.19632e-11	0	0	0	4.55238e-10	0	0	0	1.41871e-11	0	0	0	0	7	7.5	0.627688
setup	0	2008-01-02 00:00:00	0.00220816	0.0026066	0.00252262	0.0646612	0.000382387	0.000112206	1.81594e-05	0.000457541	0.000201592	2.21948e-06	1.55914e-05	0	0	-1.15713e-09	0	7.65142e-24	6.78282e-09	8.01615e-09	1.32416e-06	2.35242e-05	2.6278e-06	9.13674e-08	0	0	1.85937e-10	0	0	0	4.25403e-10	0	0	0	1.3503e-11	0	0	0	0	7	7.5	0.623303
setup	0	2008-01-02 01:00:00	0.00219873	0.00261048	0.00251711	0.0646663	0.000381242	0.000113335	1.93753e-05	0.000467024	0.000210026	2.39048e-06	1.6695e-05	0	0	-1.6197e-09	0	8.06501e-24	7.18999e-09	8.41905e-09	1.36775e-06	2.31327e-05	2.54322e-06	9.42778e-08	0	0	9.93448e-11	0	0	0	4.47672e-10	0	0	0	1.37897e-11	0	0	0	0	7	7.5	0.623122
setup	0	2008-01-02 02:00:00	0.00218958	0.00261436	0.00251157	0.0646713	0.000380153	0.000114832	2.01494e-05	0.000476835	0.000217698	2.6566e-06	1.77337e-05	0	0	-1.55312e-09	0	-4.75629e-24	7.60453e-09	8.82561e-09	1.40312e-06	2.2775e-05	2.47263e-06	9.64088e-08	0	0	1.78511e-10	0	0	0	4.53334e-10	0	0	0	1.36568e-11	0	0	0	0	7	7.5	0.623083
setup	0	2008-01-02 03:00:00	0.00218067	0.00261827	0.00250599	0.0646762	0.000379113	0.000116145	2.10299e-05	0.000486804	0.000224801	2.85725e-06	1.88679e-05	0	0	-1.50771e-09	0	-1.63368e-23	8.02607e-09	9.23523e-09	1.43627e-06	2.24292e-05	2.39679e-06	9.85361e-08	0	0	2.55725e-10	0	0	0	4.56817e-10	0	0	0	1.35612e-11	0	0	0	0	7	7.5	0.622056
setup	0	2008-01-02 04:00:00	0.00217202	0.00262219	0.00250039	0.064681	0.000378124	0.000117563	2.17297e-05	0.000496413	0.000231849	3.07464e-06	2.00101e-05	0	0	-1.46889e-09	0	-1.19941e-23	8.45471e-09	9.65313e-09	1.46472e-06	2.20633e-05	2.32313e-06	9.96144e-08	0	0	3.24174e-10	0	0	0	4.58567e-10	0	0	0	1.33874e-11	0	0	0	0	7	7.5	0.622541
setup	0	2008-01-02 05:00:00	0.00216361	0.00262613	0.00249476	0.0646857	0.000377185	0.000118769	2.2568e-05	0.000505209	0.000239302	3.30634e-06	2.11642e-05	0	0	-1.43124e-09	0	-9.30578e-24	8.89443e-09	1.00842e-08	1.4948e-06	2.17151e-05	2.25124e-06	1.01723e-07	0	0	3.81852e-10	0	0	0	4.58917e-10	0	0	0	1.31485e-11	0	0	0	0	7	7.5	0.622096
setup	0	2008-01-02 06:00:00	0.00215545	0.00263005	0.0024891	0.0646903	0.000376286	0.000120246	2.30767e-05	0.000515829	0.000244651	3.61278e-06	2.22661e-05	0	0	-1.39171e-09	0	2.06795e-25	9.34192e-09	1.05123e-08	1.5217e-06	2.14754e-05	2.1937e-06	1.01938e-07	0	0	4.27159e-10	0	0	0	4.58203e-10	0	0	0	1.28536e-11	0	0	0	0	7	7.5	0.619678
setup	0	2008-01-02 07:00:00	0.00214747	0.00263403	0.00248343	0.0646948	0.000375433	0.000120729	2.44962e-05	0.00052098	0.000254989	3.74994e-06	2.35688e-05	0	0	-1.28771e-09	0	7.03104e-24	9.796e-09	1.09742e-08	1.55566e-06	2.10637e-05	2.1153e-06	1.06797e-07	0	0	4.5411e-10	0	0	0	4.51458e-10	0	0	0	1.23958e-11	0	0	0	0	7	7.5	0.622524
setup	0	2008-01-02 08:00:00	0.00213978	0.00263795	0.00247774	0.0646991	0.00037458	0.00012253	2.45797e-05	0.000532948	0.000258521	4.25256e-06	2.45286e-05	0	0	-1.22485e-09	0	6.20385e-25	1.02561e-08	1.1416e-08	1.58559e-06	2.11239e-05	2.0978e-06	1.05488e-07	0	0	5.2116e-10	0	0	0	4.48477e-10	0	0	0	1.22821e-11	0	0	0	0	7	7.5	0.618303
setup	0	2008-01-02 09:00:00	0.0021323	0.00264189	0.00247203	0.0647033	0.000373731	0.000123408	2.55405e-05	0.000540938	0.000266074	4.43365e-06	2.58406e-05	0	0	-1.19841e-09	0	-2.48154e-24	1.07219e-08	1.19059e-08	1.62055e-06	2.1255e-05	2.05637e-06	1.0848e-07	0	0	5.94689e-10	0	0	0	4.4949e-10	0	0	0	1.30026e-11	0	0	0	0	7	7.5	0.618619
setup	0	2008-01-02 10:00:00	0.00212508	0.00264581	0.00246631	0.0647073	0.00037287	0.000124766	2.60098e-05	0.000551007	0.000271865	4.79516e-06	2.70012e-05	0	0	-1.20854e-09	0	-2.68834e-24	1.11931e-08	1.24077e-08	1.65664e-06	2.16551e-05	2.04994e-06	1.09157e-07	0	0	6.50341e-10	0	0	0	4.53963e-10	0	0	0	1.43252e-11	0	0	0	0	7	7.5	0.618339
setup	0	2008-01-02 11:00:00	0.00211809	0.00264973	0.00246058	0.0647111	0.000372006	0.000125719	2.68631e-05	0.000560083	0.000278929	5.03517e-06	2.83159e-05	0	0	-1.22424e-09	0	-1.90252e-23	1.16695e-08	1.29249e-08	1.69599e-06	2.20456e-05	2.03569e-06	1.12642e-07	0	0	6.84372e-10	0	0	0	4.61642e-10	0	0	0	1.57752e-11	0	0	0	0	7	7.5	0.617863
