#%info
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#
#%abbreviations
#   NEE = "Co2 flux"
#   H2O = "H2O flux"
#   LE = "Latent heat flux"
#   H = "sensible heat flux"
#   ET = "Evapotranspiration"
#   LAI = "LAI"
#%units
#   NEE = "micromolm-2s-1"
#   H2O = "mmol+1s-1m-2"
#   LE = "W+1m-2"
#   H = "W+1m-2"
#   ET = "mm+1hour-1"
#   LAI = "m2 m-2"
#

#%data
datetime	nee	h2o	LE	H	ET LAI
2019-01-09	-2.131619575	1.749797808	77.18959451	43.82773335	0.113386899	-99.99
2019-01-10	-2.462836641	1.768799253	77.99100929	45.89492023	0.114618201	-99.99
2019-01-11	-2.308651063	1.622296212	71.5131365	45.15665403	0.1051248	-99.99
2019-01-12	-2.25459099	1.462657841	64.49643899	46.08238125	0.094780232	1.3
2019-01-13	-2.25459099	1.462657841	64.49643899	46.08238125	0.094780232	-99.99
2019-01-14	-2.25459099	1.462657841	64.49643899	46.08238125	0.094780232	-99.99
2019-01-15	-2.25459099	1.462657841	64.49643899	46.08238125	0.094780232	-99.99
2019-01-16	-2.517470729	1.517588315	66.90224963	51.40645792	0.098339713	1.5
2019-01-17	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-18	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-19	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-20	-99.99	-99.99	-99.99	-99.99	-99.99	1.5
2019-01-21	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-22	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-23	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-24	-99.99	-99.99	-99.99	-99.99	-99.99	1.4
2019-01-25	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-26	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-27	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
2019-01-28	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	1.4
2019-01-29	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	-99.99
2019-01-30	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	-99.99
2019-01-31	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	-99.99
2019-02-01	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	1.3
2019-02-02	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	-99.99
2019-02-03	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	-99.99
2019-02-04	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	-99.99
2019-02-05	-0.227792138	0.781348974	33.05441804	81.80978468	0.05128349	1
2019-02-06	-0.094617179	0.598929148	25.69346304	91.30513804	0.039136622	-99.99
2019-02-07	-0.107659964	0.350158494	15.41187194	97.2848608	0.022690244	-99.99
