#%info
#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#   publications = "Kapiti"
#
#%abbreviations_from MODIS
#   LAI = "LAI"
#
#%units
#   LAI = "m2/m2"
#
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#%data
datetime	lai
2020-04-17	-99.99
2020-04-18	0.5
2020-04-19	-99.99
2020-04-20	-99.99
2020-04-21	-99.99
2020-04-22	0.2
2020-04-23	-99.99
2020-04-24	-99.99
2020-04-25	-99.99
2020-04-26	0.2
2020-04-27	-99.99
2020-04-28	-99.99
2020-04-29	-99.99
2020-04-30	0.4
2020-05-01	-99.99
2020-05-02	-99.99
2020-05-03	-99.99
2020-05-04	0.5
2020-05-05	-99.99
2020-05-06	-99.99
2020-05-07	-99.99
2020-05-08	0.4
2020-05-09	-99.99
2020-05-10	-99.99
2020-05-11	-99.99
2020-05-12	0.4
2020-05-13	-99.99
2020-05-14	-99.99
2020-05-15	-99.99
2020-05-16	0.3
2020-05-17	-99.99
2020-05-18	-99.99
2020-05-19	-99.99
2020-05-20	0.3
2020-05-21	-99.99
2020-05-22	-99.99
2020-05-23	-99.99
2020-05-24	0.4
2020-05-25	-99.99
2020-05-26	-99.99
2020-05-27	-99.99
2020-05-28	0.4
2020-05-29	-99.99
2020-05-30	-99.99
2020-05-31	-99.99
2020-06-01	0.3
2020-06-02	-99.99
2020-06-03	-99.99
2020-06-04	-99.99
2020-06-05	0.2
2020-06-06	-99.99
2020-06-07	-99.99
2020-06-08	-99.99
2020-06-09	0.3
2020-06-10	-99.99
2020-06-11	-99.99
2020-06-12	-99.99
2020-06-13	0.1
2020-06-14	-99.99
2020-06-15	-99.99
2020-06-16	-99.99
2020-06-17	0.4
2020-06-18	-99.99
2020-06-19	-99.99
2020-06-20	-99.99
2020-06-21	0.7
2020-06-22	-99.99
2020-06-23	-99.99
2020-06-24	-99.99
2020-06-25	0.5
2020-06-26	-99.99
2020-06-27	-99.99
2020-06-28	-99.99
2020-06-29	0.8
2020-06-30	-99.99
2020-07-01	-99.99
2020-07-02	-99.99
