row,time,.nee.sim.val
220,2018-08-09T23:00:00,-43.66585
221,2018-08-10T23:00:00,-29.982950000000006
222,2018-08-11T23:00:00,-33.85759
223,2018-08-12T23:00:00,-31.07766
224,2018-08-13T23:00:00,-21.489369999999997
225,2018-08-14T23:00:00,-32.12319
226,2018-08-15T23:00:00,-23.68453
227,2018-08-16T23:00:00,-19.90357
228,2018-08-17T23:00:00,-17.10843
229,2018-08-18T23:00:00,-22.95734
230,2018-08-19T23:00:00,-28.570629999999998
231,2018-08-20T23:00:00,-22.222730000000002
232,2018-08-21T23:00:00,-22.127580000000002
233,2018-08-22T23:00:00,-21.484630000000003
234,2018-08-23T23:00:00,-14.77221
235,2018-08-24T23:00:00,-19.68207
236,2018-08-25T23:00:00,-17.95752
237,2018-08-26T23:00:00,-20.786489999999997
238,2018-08-27T23:00:00,-26.012
239,2018-08-28T23:00:00,-21.064289999999996
240,2018-08-29T23:00:00,-25.9529
241,2018-08-30T23:00:00,-25.988410000000002
242,2018-08-31T23:00:00,-15.210910000000002
243,2018-09-01T23:00:00,-18.57219
244,2018-09-02T23:00:00,-17.19623
245,2018-09-03T23:00:00,-20.9589
246,2018-09-04T23:00:00,-13.634700000000002
247,2018-09-05T23:00:00,-19.54128
248,2018-09-06T23:00:00,-19.630049999999997
249,2018-09-07T23:00:00,-16.860979999999998
250,2018-09-08T23:00:00,-16.621679999999998
251,2018-09-09T23:00:00,-12.946349999999999
252,2018-09-10T23:00:00,-14.13282
253,2018-09-11T23:00:00,-13.32001
254,2018-09-12T23:00:00,-11.49527
255,2018-09-13T23:00:00,-9.61786
256,2018-09-14T23:00:00,-10.14952
257,2018-09-15T23:00:00,-8.57282
258,2018-09-16T23:00:00,-8.100090000000002
259,2018-09-17T23:00:00,-6.69205
260,2018-09-18T23:00:00,-6.550300000000002
261,2018-09-19T23:00:00,-5.884079999999999
262,2018-09-20T23:00:00,-4.352530000000002
263,2018-09-21T23:00:00,-4.083620000000001
264,2018-09-22T23:00:00,-3.50235
265,2018-09-23T23:00:00,-3.5332300000000005
266,2018-09-24T23:00:00,-2.6797700000000004
267,2018-09-25T23:00:00,-1.3424199999999997
268,2018-09-26T23:00:00,-0.7268499999999998
269,2018-09-27T23:00:00,-0.2520099999999994
270,2018-09-28T23:00:00,-0.04216000000000086
271,2018-09-29T23:00:00,0.6039699999999995
272,2018-09-30T23:00:00,1.3045499999999999
273,2018-10-01T23:00:00,1.8498899999999994
274,2018-10-02T23:00:00,2.2295499999999997
275,2018-10-03T23:00:00,3.1423999999999994
276,2018-10-04T23:00:00,3.9921260000000003
277,2018-10-05T23:00:00,4.453501999999999
278,2018-10-06T23:00:00,5.111298000000001
279,2018-10-07T23:00:00,5.40138
280,2018-10-08T23:00:00,6.695373600000001
281,2018-10-09T23:00:00,6.1921403999999995
282,2018-10-10T23:00:00,5.68302513
283,2018-10-11T23:00:00,5.483930375000001
284,2018-10-12T23:00:00,5.30713
285,2018-10-13T23:00:00,5.27214
286,2018-10-14T23:00:00,5.15219
287,2018-10-15T23:00:00,5.38784
288,2018-10-16T23:00:00,5.3078199999999995
289,2018-10-17T23:00:00,5.52145
290,2018-10-18T23:00:00,8.19437
291,2018-10-19T23:00:00,8.349960000000001
292,2018-10-20T23:00:00,8.88367
293,2018-10-21T23:00:00,8.03871
294,2018-10-22T23:00:00,7.513310000000001
295,2018-10-23T23:00:00,7.79785
296,2018-10-24T23:00:00,8.29473
297,2018-10-25T23:00:00,8.50394
298,2018-10-26T23:00:00,8.68929
299,2018-10-27T23:00:00,8.767660000000001
300,2018-10-28T23:00:00,8.87072
301,2018-10-29T23:00:00,9.0243
302,2018-10-30T23:00:00,8.97005
303,2018-10-31T23:00:00,8.91186
304,2018-11-01T23:00:00,9.03295
305,2018-11-02T23:00:00,9.112785179589999
306,2018-11-03T23:00:00,9.110450392759999
307,2018-11-04T23:00:00,8.858721766199999
308,2018-11-05T23:00:00,8.8052302201
309,2018-11-06T23:00:00,8.8175020068
310,2018-11-07T23:00:00,8.910240253
311,2018-11-08T23:00:00,8.879570497
312,2018-11-09T23:00:00,8.883282156
313,2018-11-10T23:00:00,8.710904601
314,2018-11-11T23:00:00,8.8525563
315,2018-11-12T23:00:00,8.81473514
316,2018-11-13T23:00:00,8.63661754
317,2018-11-14T23:00:00,8.59545426
318,2018-11-15T23:00:00,8.556588
319,2018-11-16T23:00:00,8.411278199999998
320,2018-11-17T23:00:00,8.5073775
321,2018-11-18T23:00:00,8.5005593
322,2018-11-19T23:00:00,8.376641900000001
323,2018-11-20T23:00:00,8.183753
324,2018-11-21T23:00:00,8.020293
325,2018-11-22T23:00:00,7.983693000000001
326,2018-11-23T23:00:00,7.793058000000001
327,2018-11-24T23:00:00,7.522377
328,2018-11-25T23:00:00,7.169711
329,2018-11-26T23:00:00,6.772509999999999
330,2018-11-27T23:00:00,6.129850000000001
331,2018-11-28T23:00:00,5.248840000000001
332,2018-11-29T23:00:00,4.6806600000000005
333,2018-11-30T23:00:00,3.1583999999999994
334,2018-12-01T23:00:00,2.042069999999999
335,2018-12-02T23:00:00,-0.23773000000000089
336,2018-12-03T23:00:00,-2.76192
337,2018-12-04T23:00:00,-5.00224
338,2018-12-05T23:00:00,-9.452890000000002
339,2018-12-06T23:00:00,-13.3137
340,2018-12-07T23:00:00,-16.84386
341,2018-12-08T23:00:00,-19.39585
342,2018-12-09T23:00:00,-26.1704
343,2018-12-10T23:00:00,-22.14161
344,2018-12-11T23:00:00,-27.52089
345,2018-12-12T23:00:00,-37.54086
346,2018-12-13T23:00:00,-38.43489000000001
347,2018-12-14T23:00:00,-41.685649999999995
348,2018-12-15T23:00:00,-41.93314
349,2018-12-16T23:00:00,-51.64178
350,2018-12-17T23:00:00,-56.68244
351,2018-12-18T23:00:00,-55.83146
352,2018-12-19T23:00:00,-52.66369
353,2018-12-20T23:00:00,-56.53633
354,2018-12-21T23:00:00,-52.96057999999999
355,2018-12-22T23:00:00,-57.051190000000005
356,2018-12-23T23:00:00,-59.38543
357,2018-12-24T23:00:00,-57.883919999999996
358,2018-12-25T23:00:00,-56.1122
359,2018-12-26T23:00:00,-54.55613000000001
360,2018-12-27T23:00:00,-56.390950000000004
361,2018-12-28T23:00:00,-57.26334
362,2018-12-29T23:00:00,-60.023669999999996
363,2018-12-30T23:00:00,-56.97199
364,2018-12-31T23:00:00,-59.73785
365,2019-01-01T23:00:00,-59.000249999999994
366,2019-01-02T23:00:00,-56.00943
367,2019-01-03T23:00:00,-53.180930000000004
368,2019-01-04T23:00:00,-52.10098
369,2019-01-05T23:00:00,-54.152469999999994
370,2019-01-06T23:00:00,-60.95105
371,2019-01-07T23:00:00,-57.423739999999995
372,2019-01-08T23:00:00,-48.58586
373,2019-01-09T23:00:00,-58.66588000000001
374,2019-01-10T23:00:00,-57.29319999999999
375,2019-01-11T23:00:00,-58.09901
376,2019-01-12T23:00:00,-57.963170000000005
377,2019-01-13T23:00:00,-54.50158999999999
378,2019-01-14T23:00:00,-56.08937
379,2019-01-15T23:00:00,-51.01047
380,2019-01-16T23:00:00,-53.66932
381,2019-01-17T23:00:00,-63.7592
382,2019-01-18T23:00:00,-56.91242999999999
383,2019-01-19T23:00:00,-53.66923
384,2019-01-20T23:00:00,-46.70247
385,2019-01-21T23:00:00,-46.39829
386,2019-01-22T23:00:00,-50.8974
387,2019-01-23T23:00:00,-41.00486000000001
388,2019-01-24T23:00:00,-34.72145
389,2019-01-25T23:00:00,-27.177809999999997
390,2019-01-26T23:00:00,-34.27601
391,2019-01-27T23:00:00,-24.790660000000003
392,2019-01-28T23:00:00,-23.33275
393,2019-01-29T23:00:00,-22.62645
394,2019-01-30T23:00:00,-19.20906
395,2019-01-31T23:00:00,-18.362560000000002
