row,time,.water.sim.soilwater_5cm
361,2018-12-28T23:00:00,20.3761
362,2018-12-29T23:00:00,20.1079
363,2018-12-30T23:00:00,19.6767
364,2018-12-31T23:00:00,20.8233
365,2019-01-01T23:00:00,19.8542
366,2019-01-02T23:00:00,19.019000000000002
367,2019-01-03T23:00:00,19.1603
368,2019-01-04T23:00:00,22.5003
369,2019-01-05T23:00:00,26.8867
370,2019-01-06T23:00:00,24.1999
371,2019-01-07T23:00:00,22.3812
372,2019-01-08T23:00:00,21.3694
373,2019-01-09T23:00:00,20.3388
374,2019-01-10T23:00:00,19.5626
375,2019-01-11T23:00:00,18.7062
376,2019-01-12T23:00:00,17.8597
377,2019-01-13T23:00:00,18.3065
378,2019-01-14T23:00:00,17.515
379,2019-01-15T23:00:00,17.6541
380,2019-01-16T23:00:00,18.3215
381,2019-01-17T23:00:00,17.3204
382,2019-01-18T23:00:00,16.4361
383,2019-01-19T23:00:00,15.622
384,2019-01-20T23:00:00,14.856
385,2019-01-21T23:00:00,14.1771
386,2019-01-22T23:00:00,13.5727
387,2019-01-23T23:00:00,13.0098
388,2019-01-24T23:00:00,12.5144
389,2019-01-25T23:00:00,12.0896
390,2019-01-26T23:00:00,11.7364
391,2019-01-27T23:00:00,11.3621
392,2019-01-28T23:00:00,11.057
393,2019-01-29T23:00:00,10.7763
394,2019-01-30T23:00:00,10.5129
395,2019-01-31T23:00:00,10.2773
396,2019-02-01T23:00:00,10.0567
397,2019-02-02T23:00:00,9.84618
398,2019-02-03T23:00:00,9.65217
399,2019-02-04T23:00:00,9.47423
400,2019-02-05T23:00:00,9.31442
401,2019-02-06T23:00:00,9.15278
402,2019-02-07T23:00:00,9.21987
403,2019-02-08T23:00:00,9.28228
404,2019-02-09T23:00:00,9.1417
405,2019-02-10T23:00:00,9.00257
406,2019-02-11T23:00:00,8.855780000000001
407,2019-02-12T23:00:00,8.72756
408,2019-02-13T23:00:00,8.60418
409,2019-02-14T23:00:00,8.48818
410,2019-02-15T23:00:00,8.37655
411,2019-02-16T23:00:00,9.279860000000001
412,2019-02-17T23:00:00,9.17263
413,2019-02-18T23:00:00,9.02247
414,2019-02-19T23:00:00,8.88689
415,2019-02-20T23:00:00,10.4517
416,2019-02-21T23:00:00,10.3019
417,2019-02-22T23:00:00,10.9357
418,2019-02-23T23:00:00,12.07
419,2019-02-24T23:00:00,12.0343
420,2019-02-25T23:00:00,11.8855
421,2019-02-26T23:00:00,11.5503
422,2019-02-27T23:00:00,11.2764
423,2019-02-28T23:00:00,11.0151
424,2019-03-01T23:00:00,10.7746
425,2019-03-02T23:00:00,11.8268
426,2019-03-03T23:00:00,12.5518
427,2019-03-04T23:00:00,12.702
428,2019-03-05T23:00:00,13.3933
429,2019-03-06T23:00:00,12.7859
430,2019-03-07T23:00:00,12.3636
