source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2019-10-21 23:00:00	0	0.402923	2.0139	0.000492616	0.00100812	9.66851e-05	0.000796474	4.05546e-06	1.41101e-05	0.0156628	5.66681e-08	0	0	0	1.32016	0	0.0520241	0	0.0136391	-7.86047e-15	0.142132	0.0660858	0.0202555	5.92542e-05	1.1633	115451	37730.5	57491	128.434	759.252	78.3514	15.3125	3.33579	0	0	5.77328	10727.5	3480.61	5267.09	15.699	28.7572	3.04078	1.81369	15.2358	0	0	0.978081
setup	0	2019-10-22 23:00:00	0	0.304896	2.12239	0.00147734	0.00303047	0.00024219	0.00239089	5.40012e-06	4.13792e-05	0.0323527	5.85226e-08	0	0	0	0.795835	0	0.0313618	0	0.0136863	-7.86047e-15	0.164094	0.0965432	0.0410195	8.88941e-05	1.15842	115452	37731.2	57491.7	127.099	757.012	79.3302	15.1331	3.51631	0	0	5.77328	10727.6	3480.64	5267.14	15.6335	28.6722	3.07799	1.78689	15.2689	0	0	0.974255
setup	0	2019-10-23 23:00:00	0	0.216789	2.23397	0.00223068	0.0045604	0.000357588	0.00358596	8.94209e-06	9.01756e-05	0.0590763	5.97315e-08	0	0	0	0.265904	0	0.0104786	0	0.0137619	-7.86047e-15	0.187355	0.12044	0.0699641	0.000130411	1.15472	115452	37731.5	57492.3	125.785	754.251	80.18	15.1509	3.47831	0	0	5.77328	10727.6	3480.62	5267.15	15.5389	28.5666	3.11028	1.78558	15.287	0	0	0.974727
setup	0	2019-10-24 23:00:00	0	0.143376	2.26813	0.00349568	0.00712491	0.000557448	0.00557335	1.3088e-05	0.000133416	0.0772165	5.86648e-08	0	0	0	0	0	0	0	0.0138059	-7.86047e-15	0.192287	0.125767	0.0823146	0.000154073	1.15212	115453	37731.8	57492.8	124.591	751.235	81.0686	15.0524	3.42097	0	0	5.77328	10727.6	3480.59	5267.14	15.4439	28.451	3.144	1.77826	15.2966	0	0	0.977306
setup	0	2019-10-25 23:00:00	0	0.0911233	2.26927	0.00855557	0.0173923	0.0013473	0.0141769	3.3046e-05	0.000276935	0.0945588	7.35471e-08	0	0	0	0	0	0	0	0.0206625	-7.86047e-15	0.211493	0.145512	0.109854	0.000189352	1.15041	115454	37731	57493	123.407	748.231	81.8207	14.9404	3.4658	0	0	5.77328	10727.6	3480.39	5267.06	15.3318	28.3359	3.17254	1.76849	15.2947	0	0	0.986939
setup	0	2019-10-26 23:00:00	0	0.0509185	2.32773	0.00627403	0.0127291	0.00104192	0.00977214	1.38108e-05	0.000101444	0.0796102	2.37433e-08	0	0	0	0	0	0	0	0.0139023	-7.86047e-15	0.148298	0.0110645	0.0462896	0.000132424	1.14933	115454	37730.8	57493.5	122.536	745.24	83.3928	14.0454	3.28326	0	0	5.77328	10727.6	3480.29	5267.03	15.2844	28.2214	3.23206	1.68611	15.3127	0	0	0.995981
setup	0	2019-10-27 23:00:00	0	0.0286045	2.84963	0.00636023	0.0128825	0.00111394	0.00978683	9.73573e-06	4.63205e-05	0.0350188	3.99432e-08	0	0	0	0	0	0	0	0.0140219	-7.86047e-15	0.132315	0.0202739	0.0145559	7.48413e-05	1.14872	115455	37730.6	57493.7	121.452	742.261	84.9104	13.1294	3.06169	0	0	5.77328	10727.7	3480.26	5267.03	15.2542	28.1073	3.28955	1.59371	15.3449	0	0	0.994987
setup	0	2019-10-28 23:00:00	0	0.0144821	1.64795	0.00669636	0.0135328	0.00123167	0.0101743	7.42698e-06	2.37532e-05	0.0153738	2.98365e-08	0	0	0	0	0	0	0	0.0156458	-7.86047e-15	0.118935	0.0290512	0.0169414	5.54117e-05	1.14838	115456	37730.8	57494.7	120.35	739.294	86.4349	12.5581	3.40469	0	0	5.77328	10727.8	3480.19	5267.02	15.212	27.9939	3.34717	1.52893	15.3729	0	0	0.99524
setup	0	2019-10-29 23:00:00	0	0.00757892	2.26791	0.00646872	0.0130336	0.00125616	0.00969331	3.7259e-06	1.57992e-05	0.02195	3.50535e-08	0	0	0	0	0	0	0	0.0138096	-7.86047e-15	0.127361	0.0214029	0.019485	6.54221e-05	1.1482	115457	37730.9	57495.1	119.065	736.338	87.8483	12.01	3.33027	0	0	5.77328	10727.8	3480.16	5267.02	15.1511	27.8808	3.40066	1.47091	15.4028	0	0	0.993408
setup	0	2019-10-30 23:00:00	0	0.00377338	2.00133	0.00650994	0.0130717	0.00133092	0.00961691	5.99329e-06	2.5051e-05	0.0211949	4.48005e-08	0	0	0	0	0	0	0	0.0142542	-7.86047e-15	0.134048	0.0427947	0.0244126	7.0345e-05	1.14811	115458	37731.1	57495.7	117.708	733.395	89.039	11.6248	3.61561	0	0	5.77328	10727.9	3480.12	5267.02	15.0839	27.7681	3.44569	1.42653	15.4339	0	0	0.991573
