*,*,date,tavg,tmin,tmax,grad,prec,rh,wind
2022,300,26-Oct-22,20.6125,14.6,26.9,281.7222222,0,55,3.836284722
2022,301,27-Oct-22,20.45590278,14.5,26.9,279.8784722,0,55,3.599166667
2022,302,28-Oct-22,20.86631944,14.9,28,261.5972222,0,55,3.185520833
2022,303,29-Oct-22,20.77118056,15,27.6,270.7708333,0,55,3.659861111
2022,304,30-Oct-22,19.96493056,14.7,26.3,295.5694444,0,55,3.643159722
2022,305,31-Oct-22,20.15416667,15.5,26.7,252.8368056,0,55,4.147638889
2022,306,1-Nov-22,19.08333333,16,25,194.4548611,0,55,3.602013889
2022,307,2-Nov-22,19.28541667,16.2,24.4,210.46875,0,55,4.074444444
2022,308,3-Nov-22,18.00173611,15,22.6,145.5902778,0,55,2.967395833
2022,309,4-Nov-22,19.66354167,15,26.1,250.375,0,55,3.308333333
2022,310,5-Nov-22,20.09652778,14.1,26.3,298.5138889,0,55,3.889826389
2022,311,6-Nov-22,19.73715278,15.6,25.6,239.875,0,55,3.858055556
2022,312,7-Nov-22,19.84513889,16.1,25.9,241.8819444,0,55,4.078506944
2022,313,8-Nov-22,19.88020833,15.4,26.4,295.2569444,0,55,3.525104167
2022,314,9-Nov-22,20.040625,15.1,26.2,294.6180556,0,55,3.629965278
2022,315,10-Nov-22,20.42395833,15.9,26.6,250.5138889,0,55,3.998576389
2022,316,11-Nov-22,19.94756944,16.1,26.3,288.0486111,0,55,4.269826389
2022,317,12-Nov-22,18.70069444,15.8,23.8,184.34375,0,55,3.840173611
2022,318,13-Nov-22,19.38472222,15,24.7,224.5868056,0,55,2.883194444
2022,319,14-Nov-22,18.96701389,16.3,24.1,141.2465278,0,55,2.815173611
2022,320,15-Nov-22,18.28159722,16.1,23.8,140.2569444,0,55,2.745659722
2022,321,16-Nov-22,17.69930556,15.1,22.2,170.4548611,0,55,3.142951389
2022,322,17-Nov-22,17.36909722,14.5,21.3,126.8180556,0,55,2.777708333
2022,323,18-Nov-22,18.953125,14.7,25.5,230.5270833,0,55,3.54375
2022,324,19-Nov-22,19.06701389,15.7,24.4,237.4006944,0,55,4.168993056
2022,325,20-Nov-22,19.28611111,14.7,25.6,215.3166667,0,55,3.094513889
2022,326,21-Nov-22,19.3375,14.4,25.9,242.8618056,0,55,3.283229167
2022,327,22-Nov-22,18.99895833,15.9,25.7,226.9729167,0,55,3.447534722
2022,328,23-Nov-22,18.48402778,15.5,24.7,236.3013889,0,55,3.650069444
2022,329,24-Nov-22,17.82777778,14.1,23,248.3194444,0,55,3.490798611
2022,330,25-Nov-22,18.31388889,15.1,23.4,263.6548611,0.051,55,3.649895833
2022,331,26-Nov-22,18.44409722,14.2,24.2,282.0486111,0.374,55,3.1921875
2022,332,27-Nov-22,18.85173611,14.2,25,238.9548611,0.17,55,3.271597222
2022,333,28-Nov-22,18.82777778,16,24.4,208.2541667,0,55,3.598784722
2022,334,29-Nov-22,17.52013889,14.6,23.6,184.4020833,3.743,55,3.305625
2022,335,30-Nov-22,17.57326389,15,23.5,214.7756944,4.321,55,3.388854167
2022,336,1-Dec-22,18.43368056,14.7,24.5,264.1361111,0.663,55,3.806354167
2022,337,2-Dec-22,18.82256944,13.4,25.2,260.55,0.204,55,3.103333333
2022,338,3-Dec-22,18.67785467,14.9,24.4,235.800692,0.153,55,3.511314879
2022,339,4-Dec-22,18.01180556,14.8,22.4,230.25625,15.289,55,3.411215278
2022,340,5-Dec-22,18.80347222,15.7,24.4,255.7972222,0.034,55,3.156493056
2022,341,6-Dec-22,19.64965278,15.8,25.2,281.9899306,0.017,55,2.840625
2022,342,7-Dec-22,19.88472222,16.3,25.1,292.6763889,0.493,55,3.327291667
2022,343,8-Dec-22,19.76631944,16.1,25.2,282.6041667,0.034,55,3.70875
2022,344,9-Dec-22,19.02326389,15.7,26.1,211.8965278,0.068,55,2.847638889
2022,345,10-Dec-22,18.9625,15.1,25.1,172.2875,0,55,2.211388889
2022,346,11-Dec-22,19.64166667,15.2,26.3,241.5388889,0.136,55,2.798993056
2022,347,12-Dec-22,17.49131944,15,21.5,142.1819444,1.753,55,2.6446875
2022,348,13-Dec-22,17.69340278,14.5,23.8,258.3201389,2.704,55,3.359583333
2022,349,14-Dec-22,18.52673611,13.2,24.8,265.4736111,0.204,55,3.010208333
2022,350,15-Dec-22,18.91770833,14.1,25.2,280.9145833,0.136,55,3.099097222
2022,351,16-Dec-22,19.54270833,14.5,26,263.0236111,0.153,55,3.098715278
2022,352,17-Dec-22,19.80798611,14.6,26.2,291.0833333,0.136,55,3.415798611
2022,353,18-Dec-22,19.95104167,14.4,26.4,278.4201389,0.051,55,3.264791667
2022,354,19-Dec-22,19.76145833,13.9,26.2,229.3013889,0.102,55,2.807881944
2022,355,20-Dec-22,20.28680556,14.5,26.8,271.3923611,0,55,3.165763889
2022,356,21-Dec-22,20.13680556,14.9,26.9,241.3291667,0,55,2.719444444
2022,357,22-Dec-22,19.95729167,15.4,25.7,210.1923611,0,55,3.285868056
2022,358,23-Dec-22,19.77916667,14.4,26.4,253.5013889,0.068,55,3.686423611
2022,359,24-Dec-22,20.02777778,13.9,26.5,254.5291667,0.187,55,3.297986111
2022,360,25-Dec-22,20.221875,15.5,26.3,240.5083333,0.068,55,3.583506944
2022,361,26-Dec-22,20.1375,13.9,27,224.5659722,0.017,55,3.445486111
2022,362,27-Dec-22,18.90795848,16,24,151.3425606,0,55,3.204429066
2022,363,28-Dec-22,19.45034722,14.7,25.2,220.9416667,0.017,55,3.458159722
2022,364,29-Dec-22,18.97326389,14.2,24.9,197.5541667,0,55,3.919375
2022,365,30-Dec-22,18.68368056,13.2,24.9,252.7222222,0,55,3.625069444
2023,1,31-Dec-22,18.77439446,13.2,25.8,275.5453287,0,55,3.692698962
2023,2,1-Jan-23,19.26909722,13.7,25.6,253.5159722,0.017,55,3.799930556
2023,3,2-Jan-23,18.134375,13.3,24.6,187.0472222,0.221,55,3.869583333
2023,4,3-Jan-23,17.090625,15.2,21.8,173.3208333,10.905,55,4.330381944
2023,5,4-Jan-23,16.86527778,15,20.1,120.4791667,4.949,55,3.4646875
2023,6,5-Jan-23,17.646875,14.4,22.6,219.8118056,0.17,55,3.204166667
2023,7,6-Jan-23,19.33263889,12.5,25.5,294.6083333,0,55,3.193541667
2023,8,7-Jan-23,19.52222222,12.6,25.7,287.2368056,0,55,3.465104167
2023,9,8-Jan-23,19.13055556,13.7,25.7,290.1513889,0.034,55,3.594618056
2023,10,9-Jan-23,19.74583333,16.1,25.6,246.2302083,0,55,4.092777778
2023,11,10-Jan-23,19.40555556,15.4,25,260.85,0.051,55,3.800694444
2023,12,11-Jan-23,19.34722222,13.6,25.5,264.775,0.085,55,3.326840278
